data,Casos_Publicacao_Min,Casos_Publicacao_Max
2020-04-11,79.97641580979268,109.02211786805637
2020-04-12,92.98535405984335,115.48888867478463
2020-04-13,99.97955124913398,133.06281046502022
2020-04-14,110.34209181533163,142.50635109861088
2020-04-15,116.94196490078525,164.25693671899586
2020-04-16,128.56748814284362,158.48502125923747
2020-04-17,148.58631900346114,178.06494471562817
2020-04-18,166.064974987363,197.18330755242528
2020-04-19,163.54932596105513,197.09666614311558
2020-04-20,189.25669195419675,215.5303473150377
2020-04-21,205.36827646130735,233.893486485952
2020-04-22,245.01173801941448,275.52642439835233
2020-04-23,282.70966541216484,306.25275796743483
2020-04-24,287.04150676281273,325.66750443506595
2020-04-25,301.17678870748665,345.0262433746903
2020-04-26,303.4399931090034,336.38638824102895
2020-04-27,344.8349390254523,380.86670635220366
2020-04-28,377.4726004998909,406.1518279521487
2020-04-29,370.3229283169166,404.37119136537376
2020-04-30,366.54522457086915,387.3774159249415
2020-05-01,353.219669340396,390.3158549865136
2020-05-02,354.2278151483559,389.46268722000906
2020-05-03,367.1154027252893,403.0245934331136
2020-05-04,370.015776553008,396.17416572222487
2020-05-05,370.53340772046613,410.62282343907975
2020-05-06,385.50266887611247,417.92314819021504
2020-05-07,406.74832090791443,439.7646194566153
2020-05-08,454.90850098233835,483.47923415260306
2020-05-09,486.82290487267966,516.9672252481356
2020-05-10,516.6386585482469,546.9488734017067
2020-05-11,554.4563850777674,583.3624232457881
2020-05-12,607.0316606912587,647.6572142533907
2020-05-13,675.6416576429305,714.1869824163681
2020-05-14,739.7927131571098,770.1266670078716
2020-05-15,778.0198988525535,826.1224249654242
2020-05-16,835.1106252570172,868.5861712501837
2020-05-17,919.7134036050709,967.0561141234124
2020-05-18,1034.5582882206782,1076.3671205320265
2020-05-19,1107.7085763865207,1157.7217337350287
2020-05-20,1180.8800320463838,1222.6976916294764
2020-05-21,1247.7805263717933,1293.1762344789422
2020-05-22,1336.9178867767632,1403.1581679341398
2020-05-23,1418.768249563296,1487.377662677937
2020-05-24,1459.805565199425,1507.9383397292418
2020-05-25,1514.6953031025616,1579.178423338073
2020-05-26,1555.9198952986387,1625.9118610590008
2020-05-27,1641.9865463361766,1714.07989755536
2020-05-28,1731.6580088083128,1794.1929723280177
2020-05-29,1770.771570759994,1840.8577931238844
2020-05-30,1796.3854335430156,1876.8959068778095
2020-05-31,1824.5248300950896,1895.2745827522422
2020-06-01,1852.3759689069245,1964.3259211673542
2020-06-02,1884.8032185838229,1987.9690830002137
2020-06-03,1869.8496956734418,1977.321124442755
2020-06-04,1891.6347735774464,1995.2219301222958
2020-06-05,1908.1758991876532,2011.3248534609327
2020-06-06,1947.291097648915,2029.933482723987
2020-06-07,1941.796626294939,2068.8376203067164
2020-06-08,1974.5100599558737,2069.024380688031
2020-06-09,1961.4931128214873,2080.938720689258
2020-06-10,1975.797060996012,2101.807562707407
2020-06-11,1993.755797113921,2116.074979405455
2020-06-12,1999.6062082837025,2114.5173742745187
2020-06-13,2016.424212688085,2115.0973448851328
