data,Casos_Publicacao_Min,Casos_Publicacao_Max
2020-04-11,0.0,0.0
2020-04-12,0.0,0.0
2020-04-13,0.0,0.5266079792853787
2020-04-14,0.0,0.0
2020-04-15,0.0,0.0
2020-04-16,0.0,0.0
2020-04-17,0.0,0.0
2020-04-18,0.0,1.3262502830632499
2020-04-19,0.0,4.288957000450542
2020-04-20,0.0,20.06422526434715
2020-04-21,0.0,31.69446072142303
2020-04-22,0.0,42.202768037639
2020-04-23,32.06837929963158,77.24113727495538
2020-04-24,51.03576737617794,92.58014707246257
2020-04-25,69.22927095515941,111.07032610200824
2020-04-26,88.4821199755311,130.13092424328505
2020-04-27,119.1699601786985,168.11438218411007
2020-04-28,144.98884146610024,182.52268450823206
2020-04-29,147.28546981572822,198.9084640773725
2020-04-30,142.76388649233013,192.332542326806
2020-05-01,162.83727054721138,204.19264637478517
2020-05-02,188.50093111250087,241.16323398595472
2020-05-03,223.09619210508262,259.6963176327342
2020-05-04,227.41042936927602,283.1658577804206
2020-05-05,248.8554092193322,291.0789266767115
2020-05-06,257.15698483807046,310.0912911756381
2020-05-07,288.0813995930934,340.77563808360503
2020-05-08,324.70770187985624,368.8331119593328
2020-05-09,356.153381637748,394.40987983158277
2020-05-10,385.38855740626406,426.0945242408611
2020-05-11,427.7410618175898,480.32426431440723
2020-05-12,477.8717617626757,527.7120666972514
2020-05-13,529.6876569644627,586.8707042730881
2020-05-14,570.5970644721383,617.0163806475275
2020-05-15,596.9984768910953,655.8081698246423
2020-05-16,637.6769778577433,692.2205912384143
2020-05-17,679.2641054176909,741.5676855596455
2020-05-18,764.5793136114439,827.259412465473
2020-05-19,841.35281028867,885.8445879028546
2020-05-20,900.8163988411941,959.4713158431474
2020-05-21,1004.0735500159234,1055.2334194334414
2020-05-22,1105.0420087928221,1163.191370388058
2020-05-23,1186.2814483815928,1257.3025474261678
2020-05-24,1240.3667757679277,1339.6036943171491
2020-05-25,1371.270820756956,1453.902782901475
2020-05-26,1480.1002213713439,1553.6377285955723
2020-05-27,1566.138219170363,1675.9484259300978
2020-05-28,1668.0006899090754,1761.2994292813542
2020-05-29,1757.1473046072056,1851.899266938823
2020-05-30,1799.8656875781217,1934.6834164817933
2020-05-31,1849.44075168471,2004.2283776103866
2020-06-01,1925.4456260521697,2106.8717299229124
2020-06-02,2034.203573536567,2156.1056338576936
2020-06-03,2009.4673079815168,2188.520323647455
2020-06-04,2061.121887204537,2238.9362844759166
2020-06-05,2105.632743561366,2300.592015474645
2020-06-06,2107.5584010683074,2259.661061359251
2020-06-07,2104.2897912845715,2254.3757479576802
2020-06-08,2084.316329069264,2250.80281887882
2020-06-09,2108.296182841313,2250.024440367477
2020-06-10,2107.4438571669425,2279.085972781098
2020-06-11,2103.7981370995362,2237.728247888369
2020-06-12,2124.79106689393,2293.6836086450858
2020-06-13,2135.2244531719366,2304.884849904852
2020-06-14,2170.344174696188,2348.201221383211
2020-06-15,2121.2768859359016,2321.4287922204826
2020-06-16,2114.3737639591977,2289.093595180058
2020-06-17,2115.0677638290745,2301.065277445544
2020-06-18,2047.8409362807258,2249.2193452551915
2020-06-19,2083.779685944799,2234.6995013298747
2020-06-20,2039.7660667802948,2218.6084921501324
2020-06-21,1985.0596274213237,2152.2973382323394
2020-06-22,2027.602685927657,2143.450750973725
2020-06-23,2001.374717895748,2193.195281286415
2020-06-24,2015.6919000866628,2139.394200134774
2020-06-25,2006.8592109216165,2165.2680279570363
2020-06-26,2016.1599756605185,2154.0664431320574
2020-06-27,2058.9490477574,2186.2891610773586
2020-06-28,2041.7490508648327,2198.7248358494126
2020-06-29,2057.832443970407,2198.566146266477
2020-06-30,2021.5471525454975,2185.4244979507325
2020-07-01,1994.863420112199,2132.31917097925
2020-07-02,1963.3292374596497,2111.757259735661
2020-07-03,1923.8347472189523,2118.7874154466094
2020-07-04,1904.2946826775808,2034.9748512792182
2020-07-05,1842.6055003966455,1993.7639978594923
