data,Casos_DataSintoma_Min,Casos_DataSintoma_Max
2020-04-11,639.1596751709567,671.0165834730275
2020-04-12,702.6987378519823,738.0449525216898
2020-04-13,738.6954907872082,766.5028688663336
2020-04-14,793.6993300821068,821.7497195572948
2020-04-15,810.7616283011545,835.3709428682837
2020-04-16,839.5723960065833,861.2054280247349
2020-04-17,946.9877128460347,975.5665712782189
2020-04-18,1041.5952878900794,1068.5822638065197
2020-04-19,1093.7870924389404,1130.058205749545
2020-04-20,1166.3610220876417,1202.3680964430018
2020-04-21,1272.2113444681481,1305.0671187636015
2020-04-22,1477.9237139426298,1506.8383058179068
2020-04-23,1653.960639106195,1699.759600177678
2020-04-24,1712.9586820470045,1761.4481664826392
2020-04-25,1798.672955752923,1835.3320536614267
2020-04-26,1837.2502296710506,1870.1344954614165
2020-04-27,2069.9299313114866,2106.639005225342
2020-04-28,2211.03097723387,2244.7731938866077
2020-04-29,2163.785747491123,2206.360858091764
2020-04-30,2104.4435461676994,2140.0037433748766
2020-05-01,2080.689153961889,2113.6573325021973
2020-05-02,2120.2374933333385,2148.1739690514833
2020-05-03,2163.0622455856947,2203.4126533268177
2020-05-04,2113.264900813506,2141.8800856944713
2020-05-05,2120.891047279111,2155.9432350111447
2020-05-06,2121.921170855305,2157.5500521544827
2020-05-07,2199.169974482147,2229.5516669850213
2020-05-08,2395.606641097069,2440.6498003383394
2020-05-09,2507.4105770349092,2536.6192613950543
2020-05-10,2559.498426717941,2590.3880668115657
2020-05-11,2616.9707482983276,2652.978520441854
2020-05-12,2740.7066714921993,2779.4950685402673
2020-05-13,2797.6896871453678,2845.097244327508
2020-05-14,2778.8093309278347,2812.3520323757075
2020-05-15,2588.541254308024,2632.124987449925
2020-05-16,2436.1077673807235,2464.2371115501296
2020-05-17,2561.927110611215,2591.1594442650066
2020-05-18,2723.7340507702374,2754.7122297992037
2020-05-19,2660.621340493686,2693.0510068043554
2020-05-20,2588.281942940718,2625.1272118364027
2020-05-21,2530.827351239904,2559.629946602431
2020-05-22,2632.074937502743,2664.4159277706976
2020-05-23,2714.7605294344885,2747.337538143071
2020-05-24,2543.4962963264716,2579.0688320410654
2020-05-25,2512.8312834685626,2546.4214582730497
2020-05-26,2425.572652092963,2451.661347350497
2020-05-27,2576.7873601141646,2610.155171708088
2020-05-28,2688.4374732292135,2727.978410096426
2020-05-29,2594.5838335526228,2637.129636409846
2020-05-30,2511.694132337353,2539.312475623901
2020-05-31,2447.439748198893,2491.981454725641
2020-06-01,2437.9138506655604,2476.749654747734
2020-06-02,2372.7788107044344,2418.9873845300144
2020-06-03,2173.9940785608014,2201.7347798041537
2020-06-04,2007.4783182368622,2050.290666711541
2020-06-05,1967.8937086804176,2000.2505851319504
2020-06-06,2002.3365822317187,2045.6868946695784
2020-06-07,2043.273624668543,2080.432705588572
2020-06-08,2042.072529351444,2071.809213186193
2020-06-09,2036.7685892725633,2077.1739854929915
2020-06-10,2000.632763126266,2040.6861246419442
2020-06-11,1985.123246123275,2019.685896856662
2020-06-12,1987.619480210927,2012.9692872063845
2020-06-13,1945.2986565674512,1982.269598651598
2020-06-14,1941.046451891313,1980.3559675189363
2020-06-15,1835.291168889846,1875.1141663547796
2020-06-16,1713.7847472555118,1740.2145320764735
2020-06-17,1722.055068580623,1764.7122106696095
2020-06-18,1771.7420927707728,1803.8347577866923
2020-06-19,1772.8004220136825,1804.4415967251573
2020-06-20,1749.5933897314178,1789.4993069164334
2020-06-21,1729.4347868283473,1766.5533767911927
2020-06-22,1781.0580971561253,1810.8282273822886
2020-06-23,1806.8685593768082,1832.3812546333174
2020-06-24,1711.625249614949,1749.156498420016
2020-06-25,1637.343303279015,1678.3484604727769
2020-06-26,1595.5822684729976,1633.0512337808666
2020-06-27,1626.5065567175232,1667.3950015538146
2020-06-28,1646.3888447143006,1682.8488318809373
2020-06-29,1580.679336757735,1613.0656600838697
2020-06-30,1499.119450688971,1543.724336049105
2020-07-01,1455.6901615887205,1485.3983862445161
2020-07-02,1460.7055101748917,1489.2534281650655
2020-07-03,1469.9907843595747,1504.9512172547302
2020-07-04,1400.615507349231,1437.4304003015748
2020-07-05,1372.1966523180474,1399.5461895416563
2020-07-06,1348.9288614372713,1375.4728822530867
2020-07-07,1334.0423618531083,1373.5391256846194
2020-07-08,1415.1444093068533,1445.3513557234069
2020-07-09,1455.714743402121,1480.2385163040105
2020-07-10,1468.5728631982568,1507.0595505235083
2020-07-11,1475.9057674430528,1512.6461946180352
2020-07-12,1483.3581545201027,1514.6359117789527
2020-07-13,1498.4248399558112,1530.572979938276
2020-07-14,1480.5680200612387,1513.4037241845037
2020-07-15,1393.565907350395,1418.4608702740272
2020-07-16,1350.7313157182837,1377.0091137385066
2020-07-17,1382.165587230339,1420.2463319527858
2020-07-18,1428.9273280558418,1457.2483717538626
2020-07-19,1430.9899601070756,1461.1556155109422
2020-07-20,1435.0481532925055,1463.78258330703
2020-07-21,1408.7051512955231,1436.376523815084
2020-07-22,1432.7732055672502,1466.285327833434
2020-07-23,1440.231050842747,1462.2960489035145
2020-07-24,1366.0495490528426,1392.9576638381486
2020-07-25,1313.7567088543497,1337.3707272494719
2020-07-26,1275.4511545922821,1296.6214592966485
2020-07-27,1288.8679639637905,1315.3129326486257
2020-07-28,1269.0588694948483,1299.632628629096
2020-07-29,1197.7610774030152,1227.166967397383
2020-07-30,1144.9068810540598,1173.5735345801554
2020-07-31,1122.0914151507284,1145.3540904625108
2020-08-01,1120.4361648467427,1143.910569310154
2020-08-02,1134.4877036319622,1162.1691546553363
2020-08-03,1112.7979358179703,1134.7668554819309
2020-08-04,1089.1449295847756,1110.102449100293
2020-08-05,1073.4065607617483,1103.709220375213
2020-08-06,1074.677173174364,1108.0264682933325
2020-08-07,1076.3236553583092,1102.6544436903673
2020-08-08,1114.4347297187267,1138.6379626717267
2020-08-09,1148.7181899587772,1171.9535986182273
2020-08-10,1163.5718917574072,1194.034289700271
2020-08-11,1138.279184734116,1161.4880804829907
2020-08-12,1133.588634000154,1157.2281787198617
2020-08-13,1116.7747986586412,1135.5875818738837
2020-08-14,1114.1685529434199,1141.974994334791
2020-08-15,1054.2175700714963,1083.2067616568454
2020-08-16,1006.6204211085563,1030.7460193545257
2020-08-17,1028.4071384964977,1055.9237829831857
2020-08-18,1040.333566429472,1066.6157907398292
2020-08-19,1053.4409516288028,1076.9022146862853
2020-08-20,1064.902702122427,1087.763970083175
2020-08-21,1063.1707552444466,1086.1680213814232
2020-08-22,1064.999128553875,1090.5853580185337
2020-08-23,1055.6312453830255,1086.3618330669126
2020-08-24,996.8363042689979,1020.8085578904704
2020-08-25,948.980484463244,969.4351606705869
2020-08-26,908.120948713371,933.8147278958702
2020-08-27,927.6691081682287,947.618007828845
2020-08-28,930.2285171516693,947.6196288965416
2020-08-29,902.7809654019326,921.4268933077777
2020-08-30,878.4914011696075,897.0455800094803
2020-08-31,843.1096198537429,863.9120280908766
2020-09-01,816.5655742004634,837.3698347004694
2020-09-02,804.8712572485741,824.7232254722459
2020-09-03,743.108013422054,766.9294197189465
2020-09-04,718.8332736382649,744.6368988324901
2020-09-05,706.1541402941328,722.3866801256348
2020-09-06,698.2786823552352,718.070982261933
2020-09-07,680.4048299388008,699.1000416112381
2020-09-08,682.6158798310646,707.6629152333965
2020-09-09,672.4466206190242,695.0225519436246
2020-09-10,664.1004180147361,684.2169566611601
2020-09-11,640.0650834683624,661.990017062344
2020-09-12,633.6197259407952,657.0503008093779
2020-09-13,627.0998979154888,650.1608121335531
