data,Casos_DataSintoma_Min,Casos_DataSintoma_Max
2020-04-11,573.3214716377429,595.0475328799523
2020-04-12,568.7382117157318,599.9861896640912
2020-04-13,625.2136181571394,662.7626611270972
2020-04-14,556.3751595751035,583.9312340727453
2020-04-15,615.5139401538405,639.7311808814915
2020-04-16,661.4454336271932,682.6319734559181
2020-04-17,708.2896372185535,730.4451489636062
2020-04-18,780.7704996352899,816.2272727662263
2020-04-19,864.5147131102664,911.4259196623489
2020-04-20,981.3065692529614,1039.5011589635174
2020-04-21,870.6774148669581,950.5680411105913
2020-04-22,1019.1135356804374,1066.5063485759515
2020-04-23,1138.924079911551,1173.0998090544085
2020-04-24,1277.222328763692,1328.5474454951593
2020-04-25,1295.9783952113416,1347.1249137552015
2020-04-26,1340.7835795375963,1441.5032355651613
2020-04-27,1389.311153967322,1500.6977081993255
2020-04-28,1411.1854079864052,1519.7613916201158
2020-04-29,1468.8413041830438,1594.2854434680762
2020-04-30,1551.1553317910796,1623.521503764679
2020-05-01,1697.3388719812672,1797.4374432907132
2020-05-02,1646.0676888686578,1767.8004696328253
2020-05-03,1653.059442740794,1779.9910903004225
2020-05-04,1631.7404252998786,1778.809946151589
2020-05-05,1581.7985955967283,1721.4258294513916
2020-05-06,1636.9437678568129,1766.4793407389925
2020-05-07,1690.0235748409195,1778.5213803913448
2020-05-08,1863.0115247965018,1971.5411501969772
2020-05-09,1866.952683056457,2022.5351178043877
2020-05-10,1774.702403965174,1984.38346782874
2020-05-11,1893.383951300794,2058.084139125276
2020-05-12,1887.425623504478,2079.555342365512
2020-05-13,1967.8668888833877,2104.546361304905
2020-05-14,2008.6890634967806,2159.6436397163825
2020-05-15,2051.682217459033,2284.360328462564
2020-05-16,2106.124485520903,2323.4047751552307
2020-05-17,2069.183096925662,2286.186700163904
2020-05-18,2134.4351125182548,2335.945551535702
2020-05-19,2093.126574712127,2330.6546295575863
2020-05-20,2091.657156303862,2291.466692930021
2020-05-21,2093.7572449233703,2315.5576439496404
2020-05-22,2162.815077682914,2361.947529474739
2020-05-23,2146.980219325713,2327.944525588875
2020-05-24,2057.6791690883483,2210.427378999971
2020-05-25,2021.10028129831,2208.5983395386374
2020-05-26,1951.8980361593333,2132.0284293075883
2020-05-27,1978.5518983417378,2119.8469829561695
2020-05-28,2043.2380799267673,2202.904341674919
2020-05-29,2010.8403096542042,2156.1889214515395
2020-05-30,1988.9420715783706,2115.7350399511533
2020-05-31,1957.168970318003,2046.1082114334893
2020-06-01,1945.0774902488242,2067.9071774577365
2020-06-02,1971.0010495647473,2062.3919026851613
2020-06-03,1894.1139273170704,1997.6081472565525
2020-06-04,1920.4492470651635,2009.9544277240468
2020-06-05,1931.029975158122,2003.4930494298446
2020-06-06,1918.2992406953463,2004.753826189487
2020-06-07,1903.6893750319823,1967.3670632748401
2020-06-08,1880.9893672521578,1950.150361656011
2020-06-09,1877.8965181161311,1943.031947506415
2020-06-10,1812.1931739694496,1900.703805005783
2020-06-11,1867.934099358313,1930.9242976421374
2020-06-12,1900.9289535603655,1957.9831612042778
2020-06-13,1899.847851773168,1954.1312645468863
2020-06-14,1880.2436629319413,1931.2909772298358
2020-06-15,1870.9043993346986,1933.6364129424787
2020-06-16,1850.337667763186,1907.9407961846175
2020-06-17,1818.4072078633674,1862.227665047134
2020-06-18,1830.1559230518938,1880.2907991241602
2020-06-19,1842.5324783574613,1901.5000392056438
2020-06-20,1839.1045958126806,1880.7320794413095
2020-06-21,1787.6727950316683,1834.5403738817172
2020-06-22,1780.7280489140203,1824.7541383733085
2020-06-23,1770.4089800226288,1814.2232999038667
2020-06-24,1717.613450286053,1769.281307917503
2020-06-25,1726.052593197372,1783.128279514208
2020-06-26,1754.8806606221538,1791.052754280099
2020-06-27,1760.5267512307478,1796.0846219003686
2020-06-28,1708.9794697260538,1746.1992738545873
2020-06-29,1702.784504210678,1736.7676833579242
2020-06-30,1663.0907078657722,1697.8272668524382
2020-07-01,1597.9147592241281,1629.4502147064482
2020-07-02,1601.1734709647117,1628.2923195525882
2020-07-03,1650.7292483141202,1675.574220638747
2020-07-04,1646.5019394169635,1669.1695025239376
2020-07-05,1592.3547542085,1623.2910962743083
2020-07-06,1563.6737804455963,1596.3277909426151
2020-07-07,1526.3299115187651,1548.545293950454
2020-07-08,1492.9926013647002,1528.4934704278064
2020-07-09,1498.6133758942058,1521.0668391548813
2020-07-10,1522.4096901932564,1550.1064414578543
2020-07-11,1519.045803919823,1549.4737053937984
2020-07-12,1459.8667568724693,1491.975963443149
2020-07-13,1461.9004677207333,1487.2960669707643
2020-07-14,1432.395350693543,1459.7923340170407
2020-07-15,1400.6100919288367,1424.790693142832
2020-07-16,1398.8016040872644,1430.7498542140272
2020-07-17,1447.9291412242007,1470.1877357332885
2020-07-18,1475.3174121092813,1509.135826571692
2020-07-19,1413.9798749230458,1440.1612177491747
2020-07-20,1403.2042846160637,1436.3582072099518
2020-07-21,1373.492846301238,1399.5225046768046
2020-07-22,1339.523165104045,1363.1400690605496
2020-07-23,1327.5447882289436,1351.9612927722117
2020-07-24,1336.624531543328,1355.8155946984252
2020-07-25,1327.0913420477548,1352.9959375346873
2020-07-26,1262.9239138947453,1284.503592037468
2020-07-27,1245.5080993889644,1264.326057802542
2020-07-28,1215.2313176117143,1238.8401917875944
2020-07-29,1166.1514618475,1188.9595388168698
2020-07-30,1136.2316877254423,1154.3764297230684
2020-07-31,1160.4612820323334,1178.004001784965
2020-08-01,1169.984256465097,1194.8370758062706
2020-08-02,1118.419326610988,1138.3538233796705
