data,Casos_DataSintoma_Min,Casos_DataSintoma_Max
2020-04-11,888.819161795844,947.3801712428069
2020-04-12,944.5704957524769,1000.5262387219585
2020-04-13,999.5246944336416,1073.0151041561553
2020-04-14,1034.7914985001546,1108.5678350607259
2020-04-15,1013.862114876463,1095.3444471255618
2020-04-16,1059.6810543319702,1133.575040528504
2020-04-17,1151.5495151756493,1221.4206644789517
2020-04-18,1215.1715855761736,1287.4768869010547
2020-04-19,1193.7856716939934,1272.3729530788637
2020-04-20,1305.987276923021,1373.791469571732
2020-04-21,1369.0879863405455,1437.3813757087103
2020-04-22,1493.5776160813277,1585.2540308563098
2020-04-23,1582.4410107845335,1678.1451712852252
2020-04-24,1535.424071229017,1627.493998782167
2020-04-25,1608.626147190618,1694.6680353909846
2020-04-26,1637.0505032938538,1726.3911440638028
2020-04-27,1846.7017111028404,1950.2288800096626
2020-04-28,1865.5887045846493,1976.1819184155333
2020-04-29,1809.2196806041418,1907.0410919912733
2020-04-30,1819.4895907247749,1952.1442720933144
2020-05-01,1864.635027104647,1988.3649423259349
2020-05-02,1956.9645595641239,2045.4481989850078
2020-05-03,1968.7907737052983,2084.6720391405947
2020-05-04,1926.19160234907,2028.6583285147435
2020-05-05,1982.8393098483987,2129.4239514116016
2020-05-06,1981.8449215835162,2131.4687035526144
2020-05-07,2089.323278361453,2220.2176646323965
2020-05-08,2238.9313891647316,2332.5678261122976
2020-05-09,2253.359759273374,2384.3943008784727
2020-05-10,2286.9572812477213,2405.3002091803874
2020-05-11,2376.1110319948934,2473.367415378221
2020-05-12,2488.596761943478,2603.5828680071877
2020-05-13,2489.17203187413,2614.874134796381
2020-05-14,2496.0034020537664,2609.5725117315046
2020-05-15,2355.887295537144,2495.418187675629
2020-05-16,2400.0611893424198,2495.2052160257545
2020-05-17,2578.292369713187,2700.938485958671
2020-05-18,2634.646333041878,2762.6545492476134
2020-05-19,2528.9241448773864,2628.2175965442675
2020-05-20,2491.8538887033474,2598.6127917677277
2020-05-21,2466.9012741172774,2567.3146423132393
2020-05-22,2570.5562677754533,2682.9350701408575
2020-05-23,2729.142787677286,2851.2723670415526
2020-05-24,2339.5949559328287,2450.157462410689
2020-05-25,2359.8442483387007,2512.7154695766044
2020-05-26,2335.8233590876407,2438.698997105216
2020-05-27,2537.3846238850324,2663.2052635151726
2020-05-28,2559.2521241873483,2661.633423568503
2020-05-29,2380.726289469492,2464.26147810375
2020-05-30,2490.643944405521,2594.6721894783263
2020-05-31,2281.1763103835847,2378.890952588543
2020-06-01,2437.558059772953,2515.1828179450467
2020-06-02,2279.997347196218,2347.4753275585226
2020-06-03,2049.6466199606116,2127.1868781683866
2020-06-04,2060.1172487831377,2138.987902243041
2020-06-05,1902.2099233764013,1965.8971213165626
2020-06-06,2122.503344731025,2177.8230307167305
2020-06-07,1930.3767909930552,1993.1997222199655
2020-06-08,2051.573483199338,2119.063486379411
2020-06-09,1993.1675317449487,2052.4553934607225
2020-06-10,2108.9798014911353,2154.450142696006
2020-06-11,1955.168189696211,2015.5351245804436
2020-06-12,1978.9682691376033,2026.1188081632936
2020-06-13,2011.6313440100603,2071.0665088941555
2020-06-14,1858.6304771650516,1891.4386300826084
2020-06-15,1722.6953852230022,1767.694205404694
2020-06-16,1579.764174516312,1625.4823785174212
2020-06-17,1771.3964881673494,1814.740191030813
2020-06-18,1774.0074328293576,1813.5627605693076
2020-06-19,1684.0512092267818,1723.8020771863846
2020-06-20,1783.5758617573235,1827.3097853035456
2020-06-21,1661.9439059187828,1700.7252103648402
2020-06-22,1839.01039159854,1873.204898064585
2020-06-23,1830.0741861737697,1863.831583210635
2020-06-24,1731.1089159961834,1760.6292760851188
2020-06-25,1711.317163266075,1748.4230165595163
2020-06-26,1554.6440411899166,1606.0773533583126
2020-06-27,1766.2827421769177,1795.0208723039786
2020-06-28,1541.1325796110136,1579.134592137419
2020-06-29,1483.8739630541822,1515.5685925000496
2020-06-30,1334.8208029869654,1364.662803647177
2020-07-01,1357.7868041336264,1390.6804808741535
2020-07-02,1407.278162107411,1430.4826990314798
2020-07-03,1399.0038960193765,1424.972211955534
2020-07-04,1317.07791970439,1355.343444909492
2020-07-05,1292.2769628933836,1322.7454883227254
2020-07-06,1342.3005500778154,1366.7092767323975
2020-07-07,1393.5721534583558,1416.9243127720756
2020-07-08,1536.4581356084586,1562.8886940334519
2020-07-09,1479.5141102653588,1511.8852148068172
2020-07-10,1478.0930509479888,1501.2143165005293
2020-07-11,1536.4732524636597,1564.7421891572642
2020-07-12,1366.344915536587,1389.3647501248358
2020-07-13,1421.8472878091775,1451.915878471135
2020-07-14,1395.4621459919358,1420.8447655310567
2020-07-15,1305.1030430653693,1325.962723601114
2020-07-16,1312.1830850405609,1334.5414289147973
2020-07-17,1437.2335784935156,1463.368088915142
2020-07-18,1535.6781290537274,1555.4472320566204
2020-07-19,1281.2993779560506,1305.4451884430441
2020-07-20,1316.7548446790195,1339.9946138119255
2020-07-21,1277.331954452629,1301.8786631460755
2020-07-22,1346.4757319587138,1370.8335166507954
2020-07-23,1332.892891450411,1360.1071689374373
2020-07-24,1268.3360743760213,1297.7843875450833
2020-07-25,1389.6097042236165,1417.9983063598393
2020-07-26,1145.6585381349157,1169.5074183189731
2020-07-27,1209.066214765886,1234.099676745911
2020-07-28,1185.6766254793993,1207.986208000849
2020-07-29,1079.6620484464538,1105.7413006495271
2020-07-30,1078.0585953035406,1102.3605629293684
2020-07-31,1131.5601858394305,1154.029243728255
2020-08-01,1224.3890024865946,1249.2103439784235
