data,Casos_Publicacao_Min,Casos_Publicacao_Max
2020-04-11,12.94121950807559,32.35080765617967
2020-04-12,7.7308694984412325,27.31133840847083
2020-04-13,24.295134972366128,42.87132950608994
2020-04-14,18.582521236129256,39.254822503136815
2020-04-15,10.128853639508295,34.010149466186725
2020-04-16,25.534875000611905,46.093667683422005
2020-04-17,39.80680124773166,60.677580238181754
2020-04-18,46.54337294342405,64.89126002103305
2020-04-19,47.553937891913854,68.88722650072306
2020-04-20,67.76923077062875,86.52589591742007
2020-04-21,78.95452627915559,101.81718682376955
2020-04-22,93.4130023671022,110.52288275175152
2020-04-23,114.42582150051895,130.01718596930442
2020-04-24,147.97847435588238,169.074988964185
2020-04-25,159.9126827371905,183.47877646663486
2020-04-26,175.79412868429642,194.76650524974707
2020-04-27,211.54900714259566,232.07174955745293
2020-04-28,233.73249547131329,251.38001118209513
2020-04-29,253.14948720481132,276.1622099418864
2020-04-30,271.3771916283415,297.07076985527766
2020-05-01,302.29781723461025,321.470708427395
2020-05-02,320.93717318921983,342.79005446651723
2020-05-03,341.40457185499525,361.07116226208973
2020-05-04,371.36287418884444,392.73670427612456
2020-05-05,394.2069195494238,417.4388847129938
2020-05-06,421.85913544324944,450.3813687661229
2020-05-07,467.1837265903761,488.80814383987473
2020-05-08,485.65690058578355,507.57337404795487
2020-05-09,512.4986633238237,531.5100007568492
2020-05-10,539.7852478609077,558.5615590756368
2020-05-11,585.0342189570725,611.3894683394218
2020-05-12,631.3552660227597,664.2232547867811
2020-05-13,683.7040242818202,722.8546863670147
2020-05-14,763.2685478300895,790.5868282370428
2020-05-15,820.9800132258969,857.3011610914477
2020-05-16,907.1127238071113,936.1791740889606
2020-05-17,980.6287565941071,1010.0220571020124
2020-05-18,1024.181350361808,1057.7879996648305
2020-05-19,1161.984077968373,1195.360916386594
2020-05-20,1208.8335439082234,1260.0149645246936
2020-05-21,1322.4836938327674,1376.5654968335416
2020-05-22,1437.1762735569494,1478.4860523494865
2020-05-23,1514.9876475050128,1546.8247219748896
2020-05-24,1552.2737695275891,1589.0462926053292
2020-05-25,1628.9770729656016,1676.0560484099683
2020-05-26,1708.6911635948477,1753.022741211075
2020-05-27,1805.584681101929,1865.8918388729387
2020-05-28,1881.4819998146863,1922.8845314874677
2020-05-29,1903.4500057836713,1978.8655130692896
2020-05-30,1970.4251317162186,2022.1890569599834
2020-05-31,2019.7747906275358,2073.2957249830256
2020-06-01,2082.4477487164536,2138.313532175139
2020-06-02,2127.056863739311,2186.4235417021537
2020-06-03,2197.3128552101816,2276.7405519464032
2020-06-04,2233.326469035438,2284.357580043448
2020-06-05,2263.4761896968066,2331.8618285617354
2020-06-06,2264.562171937939,2322.59647639807
2020-06-07,2241.189426694246,2296.707278316316
2020-06-08,2226.2995660437678,2293.4633156983127
2020-06-09,2233.276847402929,2308.133510324356
2020-06-10,2286.431288700753,2342.012624999372
2020-06-11,2283.368915839142,2331.8519412323567
2020-06-12,2300.410115210203,2379.3413646607955
2020-06-13,2328.3937805527235,2391.3542653122336
2020-06-14,2337.175294422397,2406.251824105517
2020-06-15,2318.981262550046,2398.334643090447
2020-06-16,2321.528165263006,2400.7475861426315
2020-06-17,2347.173271318929,2423.6593485546246
2020-06-18,2294.9333350479105,2375.2880492681334
2020-06-19,2251.5875308943027,2337.4509140203513
2020-06-20,2236.304977920668,2312.908576973679
2020-06-21,2212.1996415167,2290.580603450592
2020-06-22,2190.1429108796833,2277.394013317117
2020-06-23,2228.2048467009495,2300.4819280209194
2020-06-24,2217.6545126067617,2292.5159574226727
2020-06-25,2187.5368648468425,2296.972179915675
2020-06-26,2229.5634493605994,2309.0401360692586
2020-06-27,2244.5948052285603,2314.2470982029204
2020-06-28,2213.038751330355,2298.701089884984
2020-06-29,2167.8241276244244,2268.281979721368
2020-06-30,2183.8099247442733,2273.215601598825
2020-07-01,2147.598177833118,2232.8504768957796
2020-07-02,2073.461238122856,2183.1840476655098
2020-07-03,2077.4632245974854,2140.6464190540205
2020-07-04,2039.2787064316096,2129.620482626206
2020-07-05,2003.2336588356332,2078.7213799546203
2020-07-06,1962.619434943066,2052.9846161225078
2020-07-07,1953.9627829640997,2056.595865270325
2020-07-08,1938.0103935185773,2043.813821019756
2020-07-09,1907.1147239942718,1988.3951254821018
2020-07-10,1900.4353945656121,1968.0858003785218
2020-07-11,1875.7082177006664,1950.357131129925
2020-07-12,1843.223079438079,1929.4492652429842
2020-07-13,1821.7244132684104,1913.1496011772929
2020-07-14,1826.040641019374,1929.322441715791
2020-07-15,1830.511048051291,1915.4085705837529
2020-07-16,1830.2357870677258,1899.956799774862
2020-07-17,1832.1083868702062,1922.4428015313547
2020-07-18,1840.4929448023825,1904.9984655957824
2020-07-19,1825.0603033885252,1898.3101140217352
2020-07-20,1816.915507502306,1890.0860717307194
2020-07-21,1842.6684606396518,1907.3310929378829
2020-07-22,1846.814525724285,1913.0276600043605
2020-07-23,1824.957491410043,1908.6369234011952
2020-07-24,1806.8069984760089,1857.7574056106532
2020-07-25,1761.2801784526985,1831.2875410040403
2020-07-26,1708.639135472818,1785.0923218824485
2020-07-27,1691.887607571155,1741.948118850559
2020-07-28,1699.1741025747115,1770.762919189614
2020-07-29,1672.1129914359851,1734.2313414239406
2020-07-30,1646.273443868124,1711.86630105009
2020-07-31,1646.1254142830437,1705.45270869301
2020-08-01,1647.6281033918372,1714.6391543803566
2020-08-02,1601.7350710546773,1664.899015460976
2020-08-03,1564.7738842113715,1621.2854619593477
2020-08-04,1579.0137966523805,1641.8899002136973
