data,Casos_DataSintoma_MM_atual_PA
2020-09-16,417.45163806306863
2020-09-17,445.75569645353005
2020-09-18,417.3752764538122
2020-09-19,420.79976978788073
2020-09-20,410.54526715615657
2020-09-21,418.01863504328185
2020-09-22,432.00970040257926
2020-09-23,391.5203343479856
2020-09-24,419.859590235996
2020-09-25,393.1152240416272
2020-09-26,373.1163204256524
2020-09-27,362.42643220551577
2020-09-28,358.5994843166216
2020-09-29,367.3243267822718
2020-09-30,328.5317383141176
2020-10-01,358.58898256179026
2020-10-02,367.87995984608926
2020-10-03,383.19562902844604
2020-10-04,384.3247213613557
2020-10-05,375.9558494973411
2020-10-06,385.76885993830734
2020-10-07,340.6530248033792
2020-10-08,363.92620085432776
2020-10-09,361.2984702597808
2020-10-10,369.07832950106774
2020-10-11,372.732713205835
2020-10-12,383.9018850934303
2020-10-13,399.01633940198076
2020-10-14,375.506795469134
2020-10-15,401.6088486741838
2020-10-16,400.0307413676771
2020-10-17,401.1991218129179
2020-10-18,408.9289491408592
2020-10-19,431.13621032640634
2020-10-20,452.0590240923242
2020-10-21,432.4417003965795
2020-10-22,459.6162351848969
2020-10-23,481.87071878416384
2020-10-24,498.7322405250932
2020-10-25,499.7912974269733
2020-10-26,527.2197176760798
2020-10-27,543.8474945957914
2020-10-28,514.532849677361
2020-10-29,531.9741898630937
2020-10-30,530.6096564446466
2020-10-31,534.3498907937161
2020-11-01,521.2215256204518
2020-11-02,539.6254824036548
2020-11-03,532.0379452334561
2020-11-04,511.61325762940066
2020-11-05,540.9991531237541
2020-11-06,562.8404590124518
2020-11-07,552.7967638411358
2020-11-08,527.6975151881499
2020-11-09,548.4982730637395
2020-11-10,554.8698926218615
2020-11-11,538.167300451277
2020-11-12,568.8555476696596
2020-11-13,573.3618813231052
2020-11-14,593.6949363316536
2020-11-15,594.8295138027172
2020-11-16,633.6252541707976
2020-11-17,649.2500775825633
2020-11-18,633.1619729438797
2020-11-19,653.1603516909671
2020-11-20,639.723938616833
2020-11-21,637.3072540259573
2020-11-22,621.6391590883271
2020-11-23,647.7252664932417
2020-11-24,649.7800415380852
2020-11-25,608.4234296774758
2020-11-26,618.6746228176131
2020-11-27,635.2419694018904
2020-11-28,645.7335382546659
2020-11-29,632.7332140823997
2020-11-30,686.3252509712831
2020-12-01,728.5284730129353
2020-12-02,724.8753169251745
2020-12-03,767.9654586208904
2020-12-04,779.0552595612444
2020-12-05,789.7634088618976
2020-12-06,792.130679958966
2020-12-07,837.3832699863357
2020-12-08,875.2230553543054
2020-12-09,855.9042090709762
2020-12-10,887.2101403968747
2020-12-11,888.2627336364262
2020-12-12,892.3453044279843
2020-12-13,904.4163986117643
2020-12-14,954.6541205968005
2020-12-15,994.0346381687015
2020-12-16,971.9486266078908
2020-12-17,1010.5528179883833
2020-12-18,1007.1298311528765
2020-12-19,1006.5555517141661
2020-12-20,1002.9742985884831
2020-12-21,1046.1887488762898
2020-12-22,1076.219490846226
2020-12-23,1037.7694710531307
2020-12-24,1051.7509549147783
2020-12-25,1030.8752026088805
2020-12-26,1017.1573569546244
2020-12-27,1001.6729800843414
2020-12-28,1049.3125906827852
2020-12-29,1080.946408799139
2020-12-30,1042.6004707181537
2020-12-31,1079.9691518868397
2021-01-01,1069.6612500662186
2021-01-02,1067.3917841490015
2021-01-03,1071.119911904187
2021-01-04,1125.7433006577812
2021-01-05,1176.7982382431248
2021-01-06,1158.5334746773176
2021-01-07,1203.0698906533821
2021-01-08,1301.2723217107202
2021-01-09,1397.61831153279
2021-01-10,1457.099917761603
2021-01-11,1501.6609753056532
2021-01-12,1476.993032136944
2021-01-13,1568.8206637486537
2021-01-14,1661.6221115126593
2021-01-15,1737.0007210367876
2021-01-16,1674.453906824498
2021-01-17,1591.366805607455
2021-01-18,1567.9492729784422
2021-01-19,1491.8344199629937
2021-01-20,1519.1951914147905
2021-01-21,1519.8498689492635
2021-01-22,1464.74407530699
2021-01-23,1399.4687702923009
2021-01-24,1338.0305882399884
2021-01-25,1323.6880573118642
2021-01-26,1229.2383850841154
2021-01-27,1247.2944573118768
2021-01-28,1264.5603445273669
2021-01-29,1203.7581515220938
2021-01-30,1239.0463279057676
2021-01-31,1172.2935112418897
2021-02-01,1164.7066414587482
2021-02-02,1157.2586739205942
2021-02-03,1184.89089486467
2021-02-04,1297.1881096179686
2021-02-05,1247.689312753699
2021-02-06,1319.8892749847762
2021-02-07,1228.5288270019473
2021-02-08,1241.5524705604525
2021-02-09,1297.505498057011
2021-02-10,1240.440287775491
2021-02-11,1266.2948063358026
2021-02-12,1257.8593386615655
2021-02-13,1294.3932642341924
2021-02-14,1239.0075449116794
2021-02-15,1260.8586004095655
2021-02-16,1333.0900509160467
2021-02-17,1277.8102206165438
2021-02-18,1264.1999276434062
2021-02-19,1211.1571740957424
2021-02-20,1213.0609532723608
2021-02-21,1137.023382464785
2021-02-22,1209.1575673545096
2021-02-23,1308.9802358552643
2021-02-24,1269.0693718917798
2021-02-25,1326.8639247496421
2021-02-26,1347.7180578173056
2021-02-27,1396.9395929875366
2021-02-28,1421.9908012624715
2021-03-01,1492.1673657839792
2021-03-02,1648.7100084425601
2021-03-03,1690.3931719186824
2021-03-04,1762.2946093932092
2021-03-05,1809.8314904779206
2021-03-06,1885.445558359504
2021-03-07,1866.6551726640928
2021-03-08,1973.714153190071
2021-03-09,2160.207988505226
2021-03-10,2235.312581513386
2021-03-11,2332.557155637171
2021-03-12,2418.6040563168417
2021-03-13,2514.7441761944906
2021-03-14,2456.627074449297
2021-03-15,2496.964000080535
2021-03-16,2581.3685266713806
2021-03-17,2584.2456361796594
2021-03-18,2617.561614623978
2021-03-19,2597.2164344419043
2021-03-20,2596.4209866438405
2021-03-21,2482.2183564591182
2021-03-22,2474.7651843519125
2021-03-23,2475.8726699345075
2021-03-24,2427.7746497834396
2021-03-25,2370.892286537774
2021-03-26,2254.4145895663646
2021-03-27,2191.3192264060904
2021-03-28,2094.6085446238053
2021-03-29,2095.1492183837213
2021-03-30,2039.6550224160715
2021-03-31,1996.7615990397328
2021-04-01,1918.2155296900949
2021-04-02,1833.4826643290926
2021-04-03,1788.0097098985307
2021-04-04,1696.4233673758854
2021-04-05,1705.7063532911116
2021-04-06,1628.5823869567676
2021-04-07,1597.7131764112141
2021-04-08,1559.7199065680818
2021-04-09,1478.0832180970044
2021-04-10,1465.6638919555242
2021-04-11,1366.0681857399109
2021-04-12,1403.7065083115504
2021-04-13,1430.8825709520556
2021-04-14,1396.7008479108192
2021-04-15,1398.9476300476447
2021-04-16,1355.8944209650267
2021-04-17,1336.4950506273192
2021-04-18,1285.627469699077
2021-04-19,1304.6319875978959
2021-04-20,1307.1469967937658
2021-04-21,1269.3718283117162
2021-04-22,1240.806067085425
2021-04-23,1174.1767220041581
2021-04-24,1167.478445731934
2021-04-25,1132.6355930715708
2021-04-26,1170.481037170814
2021-04-27,1153.7594669894208
2021-04-28,1113.621840821255
2021-04-29,1070.3104341973287
2021-04-30,1023.2047814760833
2021-05-01,1043.2083069541216
2021-05-02,1015.3658365171258
2021-05-03,1036.7058628723337
2021-05-04,1042.2528285723133
2021-05-05,1039.0799400434134
2021-05-06,1046.4069311780768
2021-05-07,1013.3460843947757
2021-05-08,1019.22325726852
2021-05-09,958.09117058055
2021-05-10,967.5770926617188
2021-05-11,975.81292762112
2021-05-12,954.290575816003
2021-05-13,961.6186891710194
2021-05-14,922.7303492796569
2021-05-15,939.3328289156703
2021-05-16,910.3449920676062
2021-05-17,913.0174543846333
2021-05-18,915.6836808495543
2021-05-19,918.1456082353179
2021-05-20,929.4701046906674
2021-05-21,897.1941291099837
2021-05-22,922.5861311431761
2021-05-23,917.4471778775179
2021-05-24,930.3987883058014
2021-05-25,919.9561834921869
2021-05-26,906.4325710457341
2021-05-27,887.7185829773213
2021-05-28,831.6185096350503
2021-05-29,819.3089332745817
2021-05-30,762.9964294106643
2021-05-31,764.0797457520713
2021-06-01,788.0204144009289
2021-06-02,783.1163689776383
2021-06-03,798.8853980637382
2021-06-04,778.1042062319535
2021-06-05,812.0980867768571
2021-06-06,752.3767136119792
2021-06-07,766.3457143144262
2021-06-08,782.3528179059683
2021-06-09,754.821739774146
2021-06-10,772.0031252050367
2021-06-11,733.4187527557941
2021-06-12,761.213911424795
2021-06-13,699.5733184461156
2021-06-14,712.4383191370918
2021-06-15,730.9325705098017
2021-06-16,706.8619333219477
2021-06-17,748.1606244776506
2021-06-18,712.7713143935625
2021-06-19,728.1197675737264
2021-06-20,672.1430625910284
2021-06-21,651.8731783992818
2021-06-22,625.9115155059058
2021-06-23,584.236029739865
2021-06-24,574.1351052739483
2021-06-25,526.1726988193773
2021-06-26,527.6820073017485
2021-06-27,475.27575008362055
