data,Casos_Publicacao_MM_atual_PA
2020-04-11,118.74114476925381
2020-04-12,119.26871233444322
2020-04-13,123.25130263149849
2020-04-14,127.77529266609132
2020-04-15,130.64662728541464
2020-04-16,134.58439274591606
2020-04-17,136.834310693461
2020-04-18,142.84297651238683
2020-04-19,153.3850939462201
2020-04-20,164.48067718090954
2020-04-21,176.1699380791189
2020-04-22,185.99336427407334
2020-04-23,208.4094166692601
2020-04-24,235.03524594435714
2020-04-25,259.7945917380364
2020-04-26,281.63897940247915
2020-04-27,322.2026343095407
2020-04-28,357.7187920634864
2020-04-29,395.6450214352763
2020-04-30,411.56715898662856
2020-05-01,424.1666178438685
2020-05-02,440.82211675243803
2020-05-03,465.9382907699533
2020-05-04,491.2499107889053
2020-05-05,510.93772144193696
2020-05-06,528.2598958465203
2020-05-07,551.4469645434424
2020-05-08,572.5249798325611
2020-05-09,600.3823431031122
2020-05-10,633.6177637629931
2020-05-11,669.7890709716222
2020-05-12,713.4833769120527
2020-05-13,768.8914670674454
2020-05-14,824.1544321822641
2020-05-15,875.627487038061
2020-05-16,923.4348776708173
2020-05-17,955.1898387963203
2020-05-18,1011.4339448300751
2020-05-19,1075.8990983485276
2020-05-20,1148.1199367629242
2020-05-21,1226.5858415947055
2020-05-22,1304.7668326539772
2020-05-23,1385.4017334288235
2020-05-24,1459.8995616738537
2020-05-25,1533.3714826932044
2020-05-26,1601.6708905788691
2020-05-27,1684.449229247522
2020-05-28,1747.3014352179964
2020-05-29,1827.8408698680016
2020-05-30,1893.1385962572756
2020-05-31,1948.0493144901345
2020-06-01,1996.8941546582803
2020-06-02,2064.8664863018475
2020-06-03,2099.59254359566
2020-06-04,2146.1868605677255
2020-06-05,2163.7206399111683
2020-06-06,2162.0590079103786
2020-06-07,2159.6912499699347
2020-06-08,2177.9023795273188
2020-06-09,2186.6702644665374
2020-06-10,2206.978847333578
2020-06-11,2195.750605168556
2020-06-12,2208.4865890556343
2020-06-13,2207.848504354116
2020-06-14,2200.4234906433408
2020-06-15,2209.998836805003
2020-06-16,2196.3906837973896
2020-06-17,2198.2397053000636
