MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,21067.706023536517,31.800838387087392,49.02614206301871,413.3927549520624,0.9797714017243496,28.90043133463877,4.0
NHITS,124183.93613378055,78.6383545832281,66.23832214170969,352.3974122120941,0.8359129670566973,16.835107465965713,1.75
TCN,328766.3850789776,39.57055859633219,40.54118286913351,249.17074825240158,0.6843280838041592,40.87332596450498,2.0
TFT,170893.5698468559,30.515272385813873,53.139695235962094,145.14718744618003,0.9403867701136496,66.50449062388607,2.25
TRANSFORMER,62086.06178466169,56.03618094226566,41.839410655838506,573.3815353488266,0.8807621981466405,47.94795943152641,2.5
