MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,28456.570420234377,19.421015435973764,18.533044159739323,155.5299934803748,0.9243005780178695,19.538473314469126,1.5
NHITS,24189.578872005426,16.383799924469724,15.987716512319219,191.71850628267833,0.9411380325341631,20.428778305792473,4.0
TCN,36755.98565126138,17.7170255726922,17.687483254891145,168.6907538077721,0.935335741163009,22.205644555732654,1.75
TFT,26574.055484044457,18.27723151517636,17.074344374896942,163.0155068821505,0.9105594337533852,18.014138644959047,2.75
TRANSFORMER,31109.00327388392,22.232078894643045,15.478175449748779,176.37744547952815,0.9307549035422183,18.881142322068452,2.5
