MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,30223.636717331814,22.32565352789045,14.99468405906942,163.71675538180193,0.8968621051085013,18.702403096529707,2.5
NHITS,25201.322880746848,17.185416864410676,18.813284403357088,180.9286390353539,0.9272021604242107,21.315379060377992,3.0
TCN,42819.983191200554,15.081884819604541,18.90554921588787,173.84946568031728,0.9211527767873716,20.481374757348622,2.0
TFT,32735.172423185395,19.51518855970073,18.99222153438152,158.7492452918969,0.935440816593638,24.378612829438783,1.5
TRANSFORMER,26803.175992744775,21.2377806156425,17.33186339727453,206.92989922000288,0.939299102972667,19.287630295038,3.5
