MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,37651.25003066517,35.69112223815926,25.397042020970755,557.4397464558929,0.9154813315281625,38.97104485809383,3.0
NHITS,87888.64332315621,27.28045178422293,30.82591023511179,194.03930022205597,0.9241284106428911,65.0011825305322,2.25
TCN,310739.07092881016,25.541252251805957,42.395938202191154,296.46018842865936,0.8925868795751564,22.626273156911637,2.25
TFT,111695.95546091611,35.73402163359071,25.606573675908567,334.20944849138556,0.9637924378102941,32.75314245388031,2.75
TRANSFORMER,78896.78311235871,60.36559791088637,24.82802035531074,280.88571183376115,0.7011758115265014,34.56923002639175,2.25
