MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,116610.46430642465,48.02710901294134,34.20564104609537,385.8854298440407,0.888170233262517,37.20161265038447,3.25
NHITS,35655.72865843628,57.444944914263594,39.322088743486816,321.3504397580106,0.6970860933868441,21.859867538158465,2.75
TCN,315863.40851405484,36.6093686644117,40.8293304759262,341.482743790114,0.9009675116417637,65.06276664527829,2.0
TFT,103266.10513266682,76.16789367893622,61.246534277549316,188.82724554056355,0.8571972219248939,39.5322588350484,1.5
TRANSFORMER,148907.56496592006,38.57233161033223,39.2221699673624,562.0172670959985,0.9658060548644241,44.67260197090568,3.0
