MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,14854.112528170988,25.22017216308355,16.530374127699055,197.91790451290967,0.9437403837115259,23.090118363283707,2.5
NHITS,23269.078135162654,18.44448775549562,16.64430594868356,183.38419096893418,0.9186904841385333,21.39454076097252,2.75
TCN,39171.49692678123,19.06284447760761,12.519653581476675,191.7686695436006,0.964085957067724,22.37271705674487,2.5
TFT,33629.761497330524,16.967411307085474,17.87709431545958,121.8774488089203,0.9110854370154515,14.21884859653746,2.75
TRANSFORMER,36775.22261852269,12.432096616307739,20.849339244422556,152.54205366115488,0.905291762151262,17.796338755115993,2.0
