MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,131551.6574886562,30.291561118674988,40.35129968113079,479.27556287426387,0.8729610653149394,70.77177650676474,2.75
NHITS,140538.14737607993,107.464226638243,24.648926186749126,239.43466077813045,0.9446376447456669,28.184161785348373,3.5
TCN,361479.7617586318,22.181675053494647,26.976906899818704,601.2318702120104,0.8642828462514144,56.41614275858407,2.5
TFT,229705.06516844247,36.74495500256477,47.05439111450882,362.7005066010471,0.6509203705929287,44.12809869099184,1.5
TRANSFORMER,57328.9567819384,37.6670307781535,60.19022259467612,374.8841786153157,0.7781746932890018,42.69394299242336,2.25
