MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,20800.110003720692,17.046248828559943,17.757825483671432,184.65269065804478,0.9494806869137735,18.489827885452854,4.0
NHITS,33235.18261537642,18.24369524008959,13.580229413074187,159.357033295791,0.9061221267776554,21.15244951513198,2.25
TCN,38651.9525039323,17.25732707236958,18.156712197755827,144.22243238733944,0.9383214327145663,22.81115896894147,1.5
TFT,34096.616167255575,13.052036672179716,15.362591871544126,196.60099822720204,0.9192783790218526,21.424824485253474,2.75
TRANSFORMER,25394.664060835843,19.67988620104455,19.13852236426539,182.3051908624009,0.9171861289663202,16.73379515740332,2.0
