MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,73.55480750418495,125.70148001282197,65.21641261683973,8.029319382774194,0.8727420403215193,57.89235722205901,2.25
NHITS,64.46996975059336,13246.395822333554,46.03781820593875,11.16926329120423,0.9024974698625875,64.4445706635625,2.5
TCN,154.5892393248845,4444.85943593786,41.497511594470424,12.433392108547228,0.9145401180173348,50.78515373188654,2.75
TFT,124.75244246824234,37.233445153623826,33.45607062222276,9.798059373191117,0.8346310840282798,44.45311880802686,3.25
TRANSFORMER,96.0019674805783,61699.469938183356,47.13571700003596,8.576409942638293,0.7950801249077208,41.617447260252476,1.75
