MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,53.76208438382054,66950.7864568786,39.50376538649809,13.646001280305912,0.8798878773930985,64.44733424757581,4.0
NHITS,89.28977175020134,183691.421715104,41.150558838320286,12.165238586647265,0.927679532106123,72.29191596949174,2.75
TCN,147.99302987005154,236184.31559429129,41.55212598566978,9.632307135123952,0.8751910374861694,51.02871703593348,1.75
TFT,92.7813407453598,130951.59702480797,45.58930578317951,9.449326523631266,0.8009205690608299,38.84385967203635,2.5
TRANSFORMER,186.2133509421106,163338.60547342448,42.12402110443053,7.332263251126527,0.7495067979121546,50.05934742220156,1.5
