MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,61.89875182269728,337066.99742395733,37.06548632528606,9.820522738175168,0.8754956767214155,58.13905657200897,3.25
NHITS,121.87729332194044,222711.33993209247,52.320648105096254,7.8675759813742685,0.8460874889461686,46.79757964526631,2.5
TCN,120.41175758948198,269689.38073524344,57.339046246493886,11.0398049494518,0.8054964584855142,58.49179277703269,1.0
TFT,78.01528861593313,276752.60091745213,46.393451015868926,8.832626371353717,0.8078353017795331,41.68448863609268,3.0
TRANSFORMER,96.44266685101549,686080.3188696672,45.33588551457947,10.973229132278338,0.9012160008096152,52.031714653799504,2.75
