MODELO,MSE,MAPE,SMAPE,RMSE,R2_SCORE,COEF_OF_VARIATION,NOTA_GERAL
NBEATS,70.13532628211132,6502.713291742097,36.99550677545964,9.341115958101117,0.862442441724788,48.42002776081603,3.5
NHITS,87.70160162161413,399954.4100299737,39.70070549995839,8.374683652658847,0.8802982773414785,56.25287588738252,1.75
TCN,117.77060854108078,242981.01558757466,51.36270959871165,9.364913326967534,0.8894334513263835,45.168223027434294,2.5
TFT,87.25644734269136,552571.4538375998,35.73878700380071,8.71378287936624,0.8143376467772976,48.54338232212485,2.0
TRANSFORMER,75.9300120687362,590990.455149209,36.6833070775105,10.852216757007795,0.8617406673857081,43.41048936429487,2.75
