data,Obitos_DataOcorrencia_Min,Obitos_DataOcorrencia_Max
2020-04-11,11.7935123833605,12.599974506177212
2020-04-12,11.781883847987977,12.549801193997972
2020-04-13,18.394654942386005,19.315691633764104
2020-04-14,22.878181046214827,23.61244314933099
2020-04-15,22.777750764767035,23.50309136445419
2020-04-16,18.558606196772764,19.321333474184733
2020-04-17,19.65096382239824,20.348531244568466
2020-04-18,24.58723426777322,25.533896473904257
2020-04-19,26.10672601032538,26.99746866409222
2020-04-20,35.69799058321034,36.794560958168894
2020-04-21,38.36570409137426,40.038286760762354
2020-04-22,41.6915951718893,42.73613363693388
2020-04-23,42.87673810422483,43.77413795627907
2020-04-24,46.061016469627575,47.16255502270765
2020-04-25,51.1718712556731,52.0943270758263
2020-04-26,53.04861841122182,54.593709428265036
2020-04-27,61.58032884613546,63.220724796293524
2020-04-28,64.39930710588645,66.01050632908331
2020-04-29,64.86837121280796,66.87655524935603
2020-04-30,67.63669982562303,69.18743286308006
2020-05-01,71.21886286456036,73.1824680778771
2020-05-02,74.10057375662483,76.24874809620613
2020-05-03,74.22064468574683,76.27610190061984
2020-05-04,80.69703960977604,83.21047136673742
2020-05-05,81.65656655979745,84.1995997860525
2020-05-06,82.48820889423548,85.00168031365979
2020-05-07,82.84566163956762,85.0861453896363
2020-05-08,84.24340502934338,86.61454995755106
2020-05-09,86.00440227359816,88.83196574246632
2020-05-10,85.18217995481302,89.11510724462914
2020-05-11,89.75617609442276,92.7011805583378
2020-05-12,89.29574157541592,92.62892637368608
2020-05-13,88.95997689585327,91.55558967408183
2020-05-14,86.42546060306074,89.38006278528353
2020-05-15,81.8607083375718,85.83522914014705
2020-05-16,80.6875723708235,83.24825741242253
2020-05-17,78.11497716957712,80.85809095809955
2020-05-18,78.53643754123901,80.93569977846614
2020-05-19,78.93787471997938,81.84497847646844
2020-05-20,75.67246669947355,78.0659603633314
2020-05-21,72.96775494388558,75.54162150329662
2020-05-22,71.62297185438219,73.6620677093901
2020-05-23,69.88104844929022,71.59594389450514
2020-05-24,67.31851781401718,68.9549595424586
2020-05-25,65.87504530106071,67.79485724010073
2020-05-26,64.24351957366322,66.11687290866232
2020-05-27,63.06890894499448,64.29891265531589
2020-05-28,61.93736659993262,63.474706742145344
2020-05-29,60.12399534265221,61.468645090244706
2020-05-30,58.74419017800389,60.03874379257939
2020-05-31,57.64867374332867,58.714055550698596
2020-06-01,57.63020381143204,58.99256274384192
2020-06-02,56.62483106128503,57.57190178047389
2020-06-03,55.11222550189022,55.95382650650891
2020-06-04,55.44893839642622,56.28856479824108
2020-06-05,54.980855583354064,55.676626944242756
2020-06-06,53.322782127573994,54.21555475679722
2020-06-07,52.222854672726356,52.99071802623287
2020-06-08,51.900660364248395,52.63328819895431
2020-06-09,51.094655262392685,51.800854705996
2020-06-10,50.84640745017207,51.760997024482805
2020-06-11,51.0829586088603,51.8346717564622
2020-06-12,51.31163455923523,52.13740208728569
2020-06-13,50.81022798569373,51.73866579170998
2020-06-14,50.28839169478502,51.205646365613994
2020-06-15,49.809238759091514,50.809996336201664
2020-06-16,49.35380977643754,50.20561871904683
2020-06-17,48.15932876021147,48.673333982850245
2020-06-18,46.490462989960434,47.05516697125219
2020-06-19,46.59440770621075,47.26423926197198
2020-06-20,46.19577542238294,46.67308623096315
2020-06-21,45.05240605506052,45.601386529706936
2020-06-22,45.800933886413205,46.30841932939206
2020-06-23,45.75468926974709,46.25508053228107
2020-06-24,44.137024102802144,44.622409356565925
2020-06-25,42.26737307875574,42.82257149972736
2020-06-26,41.57501402403667,41.925689609928845
2020-06-27,40.82435001127622,41.186725265088434
2020-06-28,40.133335533870614,40.55459819786221
2020-06-29,39.23363786509645,39.623219491874835
2020-06-30,37.8899743145439,38.31186272207212
2020-07-01,36.2533117312522,36.633186362890655
2020-07-02,34.506003171852875,34.91303354314248
2020-07-03,34.32126471198486,34.7299050569589
2020-07-04,33.67059326328581,34.0004356333807
2020-07-05,33.66938186695965,34.128258744098325
2020-07-06,33.95390544854683,34.48331843649671
2020-07-07,33.14675104427626,33.54066890440606
2020-07-08,31.763272070346815,32.30240655352273
2020-07-09,30.20507794123133,30.61747615080805
2020-07-10,29.690110176189705,30.183623040273087
2020-07-11,29.448556427568292,29.947148423699595
2020-07-12,29.083674941981148,29.566791788839335
2020-07-13,29.279205265344885,29.696956918886137
2020-07-14,28.8440241060618,29.356916578329
2020-07-15,27.102436089128943,27.536099930036148
2020-07-16,25.06010430765449,25.727421735136385
2020-07-17,25.682465335704734,26.19856945747525
2020-07-18,25.641247568071478,26.319470467677743
2020-07-19,25.016327671768213,25.536739763589985
2020-07-20,26.357909965300216,27.113449213498388
2020-07-21,26.755925567579606,27.39261352842225
2020-07-22,26.605697513186776,27.14203127237339
2020-07-23,25.31030881911449,25.970485289526874
2020-07-24,25.928347156752714,26.4919074796593
2020-07-25,25.77491423399374,26.44576538826428
2020-07-26,25.316843108620816,25.809741176832464
2020-07-27,26.14836539493226,26.642813855900908
2020-07-28,26.701897747993435,27.33190889778255
2020-07-29,25.05778565172023,25.596708187244225
2020-07-30,23.48649214438085,23.998772089378512
2020-07-31,23.785614119696262,24.31655475107584
2020-08-01,23.457386366558985,24.12981837537584
2020-08-02,22.91427419445849,23.374522647959534
2020-08-03,23.062938376355003,23.617747623774886
2020-08-04,23.240094086709995,23.902305114361454
2020-08-05,22.111109871591157,22.604548931614772
2020-08-06,20.283592701291365,20.87036225549194
2020-08-07,20.809528361657602,21.299511760989233
2020-08-08,20.497894588674793,21.104518343054288
