data,Obitos_Publicacao_Min,Obitos_Publicacao_Max
2020-04-11,2.798360583464659,3.0620886242808503
2020-04-12,3.2151075510399694,3.4577931255793506
2020-04-13,2.8174273095202644,3.0620518653594804
2020-04-14,3.1458108975549797,3.4803762660587094
2020-04-15,3.085565029571992,3.4415606698000976
2020-04-16,3.7536142990800205,4.0987672213650805
2020-04-17,4.715812441015398,5.030680167473298
2020-04-18,5.0863570405631675,5.600989190367487
2020-04-19,5.868620228168049,6.2602376543228875
2020-04-20,5.994176295607467,6.524423652029977
2020-04-21,7.385165955152851,7.893537433752969
2020-04-22,8.356213189771944,9.016083812411942
2020-04-23,10.205055620659186,10.984388736019977
2020-04-24,11.596131217626688,12.37575743979791
2020-04-25,12.653218615402364,13.335533807555263
2020-04-26,13.823896165986005,14.729445779053087
2020-04-27,14.723357717742553,15.907080924598727
2020-04-28,16.231568242572585,17.213462513657948
2020-04-29,17.066406610960495,18.44797418632615
2020-04-30,18.911392306947086,20.59740910356537
2020-05-01,20.21561967611788,22.1651368203593
2020-05-02,22.266139323936297,23.94091942448668
2020-05-03,23.535617886010254,25.461884782021095
2020-05-04,24.537219809433914,26.522735494017745
2020-05-05,26.279713052317888,28.610666538666138
2020-05-06,28.078550393008268,30.54164424967509
2020-05-07,30.805425717685647,33.92550287522401
2020-05-08,33.55477113780277,36.111868367223
2020-05-09,38.44676713978167,41.91929034100421
2020-05-10,40.43566191339887,43.20333976265362
2020-05-11,42.742876866218296,45.75337084114708
2020-05-12,46.44860012410234,49.21113832726941
2020-05-13,48.65876358700447,51.745889134268545
2020-05-14,51.15387957503268,55.13272952966143
2020-05-15,55.298182508440824,58.42459462976164
2020-05-16,59.336913185486935,63.316769315994755
2020-05-17,61.214955616508455,65.34449797071669
2020-05-18,64.70321206893519,67.73386597436179
2020-05-19,67.63423926780872,71.40283248890998
2020-05-20,69.37150908595967,74.47347971939136
2020-05-21,74.51218082967128,77.89267059931244
2020-05-22,76.81057663184934,82.40597896256025
2020-05-23,79.74811878321971,84.63416645622506
2020-05-24,79.46205173789357,85.86595932030042
2020-05-25,81.27813262892056,87.27057515757971
2020-05-26,84.57981743798472,89.76040044395512
2020-05-27,85.61033625445182,90.17496062096521
2020-05-28,87.24242839009497,91.41865057542289
2020-05-29,85.44867846089026,91.64810562853486
2020-05-30,87.20902904114757,93.29204564414475
2020-05-31,84.62678122546897,88.57851185656283
2020-06-01,81.96180863303147,86.03071787876853
2020-06-02,81.55994784233431,87.05944838580193
2020-06-03,78.67428394875972,83.49501646680508
2020-06-04,79.61028973813362,83.81437122189712
2020-06-05,78.45374819153271,82.04775176730013
2020-06-06,77.25697478702847,81.71302763138802
2020-06-07,75.21890136498176,80.07415704480148
2020-06-08,73.80133052314628,78.32098932869384
2020-06-09,74.05041786830948,76.82450948094129
2020-06-10,71.52824154468861,74.36149448607752
2020-06-11,69.72798927093568,73.06894588056626
2020-06-12,67.84628642624601,70.46913332688852
2020-06-13,64.84601668163744,67.78778742184863
2020-06-14,62.53303364944026,65.52965816618706
2020-06-15,60.40388045287682,62.33935799090906
2020-06-16,57.43326720360161,59.378743094572734
2020-06-17,54.037197637320986,56.27448130372035
2020-06-18,52.3170745243086,53.85626896553851
2020-06-19,50.52371041037331,52.28530623655216
2020-06-20,49.361339964067945,50.55960897107098
2020-06-21,48.16703250650765,49.599192780639044
2020-06-22,46.67116891206579,48.272584892999284
2020-06-23,45.79747540551551,47.09244964376908
2020-06-24,43.50413064907946,44.975571062554174
2020-06-25,42.81020054423768,43.746842061453826
2020-06-26,41.60481032797699,42.50532390328665
2020-06-27,39.87477465640097,41.16308647896424
2020-06-28,38.227887246685405,39.08085209697165
2020-06-29,36.38485136521689,37.34975275810329
2020-06-30,35.71692470614536,36.58283743647245
2020-07-01,34.34091951487893,35.28262185900199
2020-07-02,34.06339679469645,34.83102362985717
2020-07-03,34.15327870924152,35.08268808158306
2020-07-04,34.19627953890038,34.7897835077381
2020-07-05,33.88891888723647,34.66104489173413
2020-07-06,33.246739837615614,33.910937172689266
2020-07-07,32.907471090103286,33.71320156748709
2020-07-08,32.05569342445517,32.747559692128995
2020-07-09,31.480251770386243,32.250515023408184
2020-07-10,30.648795687268496,31.561078780864776
2020-07-11,29.856784524212944,30.555306349093154
2020-07-12,28.474522752952666,29.188874336110374
2020-07-13,26.940224584353487,27.62262570424302
2020-07-14,26.557160097193346,27.29951362555276
2020-07-15,25.702551325497183,26.36342497199539
2020-07-16,25.62420558429459,26.229101334040855
2020-07-17,26.179490255514295,26.72882178223953
2020-07-18,25.991919205514847,26.769955107207352
2020-07-19,26.189551419868902,26.738281878819272
2020-07-20,26.095906707459164,26.705114825819948
2020-07-21,26.707954199552983,27.459097413838663
2020-07-22,26.634714896423976,27.34872622601828
2020-07-23,26.723338524470915,27.476453982661564
2020-07-24,26.83678917021154,27.48323444521758
2020-07-25,26.84206202779798,27.454258279796786
2020-07-26,26.091391508438413,26.80505626378614
2020-07-27,25.88637152389584,26.447704546053025
2020-07-28,26.049644813784194,26.87449526992227
2020-07-29,25.78135771751375,26.672011835247815
2020-07-30,25.87767977343322,26.658507407367182
2020-07-31,26.31350171355509,26.95384162435468
2020-08-01,25.99464269768577,26.596243322646387
2020-08-02,25.56908664370626,26.261392874208
2020-08-03,24.828529218048686,25.564097905689717
2020-08-04,24.989280513777867,25.80185243652274
2020-08-05,24.566819198627048,25.002914727164285
2020-08-06,24.168645438285054,24.901965180596743
2020-08-07,23.888805139141102,24.550723828650412
2020-08-08,23.106989009058587,23.706211796789127
