data,Obitos_DataOcorrencia_Min,Obitos_DataOcorrencia_Max
2020-04-11,12.726678742821163,12.895316557037706
2020-04-12,14.533189720531631,14.721009589636894
2020-04-13,18.12767552976359,18.34615804968647
2020-04-14,18.53447406589241,18.675209504145222
2020-04-15,15.628122883956268,15.765940318080848
2020-04-16,19.043627987163788,19.24905093957231
2020-04-17,21.465780390412387,21.710924627876324
2020-04-18,27.190990093763684,27.47419110172637
2020-04-19,29.081118116000788,29.3847380985706
2020-04-20,33.54916937575135,33.914125150526665
2020-04-21,35.2155306475226,35.57615730284997
2020-04-22,37.044449018285725,37.41084009086903
2020-04-23,40.930248158875,41.408405359856175
2020-04-24,43.93798041559003,44.48604364193469
2020-04-25,48.444803413582854,49.20590912155928
2020-04-26,51.43779964761037,52.051375557085294
2020-04-27,56.026939072415615,56.62363154175797
2020-04-28,58.57588417891075,59.29968887224261
2020-04-29,62.36798005431664,63.23873814250785
2020-04-30,65.58349889009371,66.43398209463261
2020-05-01,68.17298058495513,69.19794722613182
2020-05-02,72.71478323139105,73.72945544917405
2020-05-03,75.55682202935515,76.95297407096953
2020-05-04,79.75351702915276,80.86984731232252
2020-05-05,81.82733194330268,83.13046337548573
2020-05-06,83.80880883840328,85.28850039279868
2020-05-07,85.1255575670465,86.55945310759462
2020-05-08,86.1259594392126,87.45837063634441
2020-05-09,86.6766025488508,88.96523997735002
2020-05-10,87.76465640574796,89.55625469776042
2020-05-11,87.79496725654217,89.73106085207587
2020-05-12,88.96943687604393,90.74758251582448
2020-05-13,88.71665908615869,90.68248840117698
2020-05-14,88.55678138522278,89.99324654342864
2020-05-15,88.11155118587409,89.9641801255266
2020-05-16,87.09554461869489,88.99440401741478
2020-05-17,87.05476140786051,88.8404699129109
2020-05-18,86.82967033113314,88.46628266385778
2020-05-19,86.99918442698507,88.88458925975492
2020-05-20,85.86452347482187,88.00046816827341
2020-05-21,83.32599063233062,85.35220923044939
2020-05-22,81.9952090937998,83.85444352612126
2020-05-23,80.52163195825287,82.254038772161
2020-05-24,77.94115750824017,79.8857409789173
2020-05-25,75.55024568909097,77.8368684438562
2020-05-26,74.75357883089742,76.50012665371067
2020-05-27,72.96333155224886,75.35053099085924
2020-05-28,71.08883245523877,72.95704343407257
2020-05-29,69.90277276815179,72.099601524646
2020-05-30,68.55311637383087,70.31025094276677
2020-05-31,66.52289920055338,69.31614877467379
2020-06-01,65.06868602691121,66.65836807489876
2020-06-02,63.44669173778908,65.70634605041859
2020-06-03,61.782250713698176,63.68190032262128
2020-06-04,60.23351127131904,62.225625960225344
2020-06-05,58.1107005922113,60.774574981476974
2020-06-06,57.705211175301784,59.82782084127361
2020-06-07,56.955336655047574,58.657660728323755
2020-06-08,56.667468463765154,58.463739212142855
2020-06-09,56.65799111304349,58.28231016208109
2020-06-10,55.46515539138521,57.17806858424305
2020-06-11,54.21719996419673,56.24472971911322
2020-06-12,54.04113091411111,55.8694357288311
2020-06-13,53.031107975799145,54.5220185898745
2020-06-14,51.62188725742386,52.62660499375416
2020-06-15,49.545751063595084,50.875600343434265
2020-06-16,48.13462909143282,49.231468998218496
2020-06-17,46.834489184709355,47.82794102111925
2020-06-18,44.3074498847622,45.441857435048284
2020-06-19,43.35932573342096,44.10586709500047
2020-06-20,42.34979028630836,43.12653015519341
2020-06-21,40.92468402805699,41.58544795299893
2020-06-22,41.120032293448325,42.03662656766652
2020-06-23,41.53369489129176,42.24117809510795
2020-06-24,40.9527224889596,41.564272567599836
2020-06-25,39.455033362590505,40.072227831745145
2020-06-26,38.320234452556846,38.96527609774384
2020-06-27,36.9187966330295,37.506104232106416
2020-06-28,35.446621604070074,35.830311426687906
2020-06-29,33.62815825110889,34.1332264895265
2020-06-30,32.71146840656147,33.131495721080114
2020-07-01,31.99621185693283,32.46563619158733
2020-07-02,31.44656693005286,31.828993807622368
2020-07-03,31.28926383207347,31.79631672352712
2020-07-04,31.205376204436245,31.629378567937845
2020-07-05,31.122702399539584,31.490711088316495
2020-07-06,30.54848433883934,31.01318468460901
2020-07-07,30.476216213423136,30.84812419453573
2020-07-08,30.117539161161307,30.591875612464232
2020-07-09,29.13749499780688,29.684644501148885
2020-07-10,29.019530190818855,29.39624996425871
2020-07-11,28.718017530507616,29.049396815415214
2020-07-12,28.032679630961535,28.39086024314558
2020-07-13,27.01483202436207,27.380272067105988
2020-07-14,26.855747503217245,27.224545896583464
2020-07-15,26.347039418278086,26.664263981163618
2020-07-16,25.37869547066028,25.789033691218755
2020-07-17,25.656215028284397,26.002798002505106
2020-07-18,26.188172481204468,26.449273125344245
2020-07-19,26.478899490762995,26.8874607159224
2020-07-20,26.598683600133,26.95624984661142
2020-07-21,27.185238479956148,27.544852288100053
2020-07-22,27.50061906727587,27.827801632028976
2020-07-23,27.365590316276677,27.653428021858026
2020-07-24,27.19331489680625,27.60414953123997
2020-07-25,27.146054184637162,27.510349764472902
2020-07-26,26.79190626665619,27.16814819982333
2020-07-27,26.057106995567686,26.427431787985956
2020-07-28,25.892150358625024,26.297037079436794
2020-07-29,25.305471590477048,25.670607058497602
2020-07-30,24.350717974107425,24.63342318957732
2020-07-31,24.237439243420216,24.551678704952778
2020-08-01,23.636309674727602,24.005614764336332
2020-08-02,23.393783769333133,23.764407965220588
2020-08-03,22.331149681280305,22.775221734182736
2020-08-04,21.75383296341123,22.208902294534788
2020-08-05,21.239333067356462,21.63996794866643
2020-08-06,20.253699747186147,20.5372709431787
2020-08-07,20.079576003465057,20.41445510906681
2020-08-08,19.803825834788547,20.14057096977655
