data,Obitos_Publicacao_Min,Obitos_Publicacao_Max
2020-04-11,2.2575066909441013,2.68521302546779
2020-04-12,2.9218463569367397,3.4136225804194065
2020-04-13,2.967758461326357,3.3529662575974997
2020-04-14,3.2801639226718713,3.7353925026825867
2020-04-15,2.746427024653534,3.2597524496670514
2020-04-16,2.110486053125439,2.6072201449537986
2020-04-17,3.023931489565664,3.500307811460468
2020-04-18,4.339406280424792,4.765722078382868
2020-04-19,5.5278501063464525,6.071489593882042
2020-04-20,5.895298785050607,6.323209766186039
2020-04-21,6.353706310504117,6.902954965635244
2020-04-22,6.371709606401802,6.7835906012716505
2020-04-23,8.0632389090496,8.50656885194302
2020-04-24,8.858595499472015,9.447677260641832
2020-04-25,10.01585577014385,10.671769485350021
2020-04-26,11.203455137539294,11.810568301989056
2020-04-27,11.871033086600022,12.45763220856
2020-04-28,13.85755174854645,14.39820222570208
2020-04-29,14.648789580937677,15.334809796328932
2020-04-30,16.887930079606498,17.80011717353332
2020-05-01,16.93310814836835,17.643951037932602
2020-05-02,18.842090481886235,19.721947259603436
2020-05-03,20.203646647506684,21.11248845219403
2020-05-04,23.642060796109742,24.58714266095014
2020-05-05,24.5614321403825,25.68010908222341
2020-05-06,25.96865357403683,27.213544281619185
2020-05-07,28.151844283908343,29.28377303038753
2020-05-08,28.78954161962702,29.875060596603088
2020-05-09,31.551579355562918,32.575631994345
2020-05-10,34.94158370490513,36.30046483202771
2020-05-11,39.167672330954616,40.99992508394803
2020-05-12,41.401308433865324,43.76779699224189
2020-05-13,46.31448796674785,48.96545512915015
2020-05-14,50.49945758175665,52.56619433070239
2020-05-15,52.10349106016184,54.96668279008199
2020-05-16,55.0651676436149,57.41173376155402
2020-05-17,59.780908379438486,62.91936977286733
2020-05-18,63.52623384348971,66.77580584138082
2020-05-19,65.94057912595717,69.34424800190321
2020-05-20,69.46515569338858,74.44858223985003
2020-05-21,73.01423417788116,78.67302756023042
2020-05-22,76.56478075037448,80.8674962479378
2020-05-23,78.51214063024757,81.83236222708504
2020-05-24,80.91645732862035,85.13110130663604
2020-05-25,81.77600187978601,86.43737821696749
2020-05-26,83.18947386881129,87.17141151098214
2020-05-27,85.02811680024725,89.72254092578156
2020-05-28,84.48695798897401,87.67959944292159
2020-05-29,83.37042873305505,88.79072136958987
2020-05-30,80.80791346115934,84.42395362218353
2020-05-31,78.52748807144316,82.30524359096638
2020-06-01,75.7459615292251,78.9575468414173
2020-06-02,73.50111666354942,76.13358466225229
2020-06-03,71.65486511174714,74.55727835107784
2020-06-04,69.90509608351749,71.72876292417126
2020-06-05,69.1129933060854,71.48001188003664
2020-06-06,67.78292428366764,69.91387842466297
2020-06-07,68.48651802847606,70.71795912912133
2020-06-08,67.93781488502327,70.19118495211518
2020-06-09,67.30960352351852,69.59518563977758
2020-06-10,67.0037185207522,68.73322331248039
2020-06-11,65.9568930978358,67.50956810991111
2020-06-12,63.20133866373169,66.02262503154863
2020-06-13,60.6845149068882,63.19809764375232
2020-06-14,58.4013061121394,61.15513760916176
2020-06-15,55.91762419049191,58.514931699794204
2020-06-16,54.28494769664933,56.39071530263915
2020-06-17,52.42366234819066,54.012533991784714
2020-06-18,51.6390591074095,53.09405472308752
2020-06-19,50.65861658179064,52.20463741344128
2020-06-20,50.248393864181295,51.68530765475961
2020-06-21,50.43796720388576,51.967118730502925
2020-06-22,47.89649925530202,49.43911851358288
2020-06-23,47.958140168763464,49.057420616543624
2020-06-24,45.43805737792921,46.42879437626178
2020-06-25,43.223862742940824,44.632642646375714
2020-06-26,41.213129419950576,42.29554710327998
2020-06-27,38.76778156988626,39.78386819552691
2020-06-28,39.346763115510505,40.75487882099442
2020-06-29,37.604589422504745,38.95408962661207
2020-06-30,37.51291630196729,38.59752276693795
2020-07-01,36.65643640365139,37.67753665094732
2020-07-02,37.51116721729988,38.95307911853635
2020-07-03,38.56113590907681,39.57928847384504
2020-07-04,38.335889395075476,39.80720298132102
2020-07-05,39.403018658200395,40.72584063260627
2020-07-06,38.5626527202444,40.02268401979756
2020-07-07,37.32880817908713,38.96856722924141
2020-07-08,35.130650344916354,36.60583781127847
2020-07-09,34.40556430828739,35.681661043513046
2020-07-10,33.756488050682066,34.97696596778445
2020-07-11,31.44338980919608,32.87519035997962
2020-07-12,31.379829141333527,33.0638421852702
2020-07-13,29.87660125840957,31.419460479038904
2020-07-14,29.805672266068097,31.531013389397273
2020-07-15,28.903513556726637,30.29686738183145
2020-07-16,29.06841077801068,30.30455566041747
2020-07-17,28.604825493920792,30.697937547434478
2020-07-18,28.62848072048833,30.207749162813034
2020-07-19,29.85926990911987,31.751581430625816
2020-07-20,29.335696533200153,30.981371031323043
2020-07-21,29.868188584794495,31.181210941163403
2020-07-22,29.56590746234821,30.787988352151345
2020-07-23,29.499976039438625,31.123418573201093
2020-07-24,29.108483879238904,30.224997909762138
2020-07-25,27.235892204051314,28.78997040288827
2020-07-26,27.526570566002224,29.224424357355478
2020-07-27,26.889127336750494,27.861741339149393
2020-07-28,27.009546802107003,28.268408241683105
2020-07-29,26.69174556011127,27.69964993423339
2020-07-30,26.570158883013736,27.71975675475493
2020-07-31,26.1177875127186,27.38013807534588
2020-08-01,25.439193219734314,26.9004188377679
2020-08-02,25.14348486249477,26.588343436935077
2020-08-03,23.941241631955492,25.094036849221496
2020-08-04,24.516796423901877,25.675991316010315
2020-08-05,23.313177816764608,24.46581892069109
2020-08-06,22.949968748996167,24.110137789349853
2020-08-07,22.077760596810265,23.43297894854662
2020-08-08,21.18307241822593,22.708979926072107
