MODELO,COEF_ANGULAR,MEAN,STD,NOTA_GERAL
TCN,0.032729734465574624,33.070957142895196,572.7390575627601,2.0
TFT,-0.16447847729208068,-107.65824983618398,399.3457065050203,0.75
NHITS,0.24992146472573615,146.8083860123561,320.5357305791602,0.5
TRANSFORMER,0.14566175371517434,90.7842788384061,232.17018404444474,1.75
NBEATS,0.06401594320464614,58.25562673540266,133.0160203988178,2.5
