MODELO,COEF_ANGULAR,MEAN,STD,NOTA_GERAL
TCN,0.027483741885950153,16.745463781302718,191.0904765867202,1.75
TRANSFORMER,-0.02064637853986323,-19.936204945325255,175.34316625560493,2.0
TFT,-0.05448838230484139,-20.220601969899814,161.8452119569023,1.5
NBEATS,-0.11732687740753805,-74.70127148959509,151.33199962298207,1.0
NHITS,-0.10115558172218134,-75.60385833059057,135.992248517278,1.25
