data,Obitos_Publicacao_MM_atual_PA
2020-04-11,2.9076226648536427
2020-04-12,3.367056211196849
2020-04-13,2.9515696134255327
2020-04-14,3.3048967602771797
2020-04-15,3.2426975550772954
2020-04-16,3.909217546939941
2020-04-17,4.821165304610062
2020-04-18,5.263395338990182
2020-04-19,6.100064087169312
2020-04-20,6.231467250999163
2020-04-21,7.597166795862665
2020-04-22,8.652860903131236
2020-04-23,10.57965037412242
2020-04-24,11.980760866799342
2020-04-25,12.96462289803758
2020-04-26,14.28212758890554
2020-04-27,15.338551754233793
2020-04-28,16.830714744432342
2020-04-29,17.847238449899848
2020-04-30,19.894132952787476
2020-05-01,21.134519718794706
2020-05-02,23.028724871250855
2020-05-03,24.513336563324778
2020-05-04,25.427983800535795
2020-05-05,27.61375226973383
2020-05-06,29.11246293490776
2020-05-07,31.934206665990253
2020-05-08,34.96007635853179
2020-05-09,39.99706773629865
2020-05-10,42.068677856704845
2020-05-11,44.57367006978005
2020-05-12,47.855780784504475
2020-05-13,49.87231230113002
2020-05-14,52.94561588729492
2020-05-15,56.812248286208344
2020-05-16,61.2103836195551
2020-05-17,63.30390590376846
2020-05-18,65.94110787029854
2020-05-19,69.08918555287242
2020-05-20,72.08372090988972
2020-05-21,76.07683529734703
2020-05-22,79.0074505986069
2020-05-23,82.58322331212611
2020-05-24,82.86008649791346
2020-05-25,84.5882918256768
2020-05-26,87.15019566125046
2020-05-27,87.87554300051526
2020-05-28,89.3274425721948
2020-05-29,89.36797327588882
2020-05-30,89.55988884711918
2020-05-31,86.78409023510764
2020-06-01,84.45610565670346
2020-06-02,83.47153118625292
2020-06-03,81.39558279429527
2020-06-04,81.3830133272542
2020-06-05,80.14985872864955
2020-06-06,79.9453860570897
2020-06-07,77.64471080023286
2020-06-08,76.51101406821556
2020-06-09,75.37299337634359
2020-06-10,72.68776490874744
2020-06-11,71.34616203729871
2020-06-12,68.99469761498608
2020-06-13,66.5961975800096
2020-06-14,63.96429546721293
2020-06-15,61.20599588256919
2020-06-16,58.40910213616868
2020-06-17,55.19999248195271
2020-06-18,53.245871635808435
2020-06-19,51.49791473223768
2020-06-20,50.09878725211797
2020-06-21,48.70235231513709
2020-06-22,47.47112627529932
2020-06-23,46.5351729710851
2020-06-24,44.37022794122477
2020-06-25,43.281602180155964
2020-06-26,42.014601578479166
2020-06-27,40.460185754075674
2020-06-28,38.678340101380705
2020-06-29,36.91506365380297
2020-06-30,36.17947793259589
2020-07-01,34.898738893748124
2020-07-02,34.41384939965262
2020-07-03,34.62207189341709
2020-07-04,34.54185017967171
2020-07-05,34.198461601449495
2020-07-06,33.53261401012204
2020-07-07,33.280883625667535
2020-07-08,32.39836192551688
2020-07-09,31.861903515997444
2020-07-10,31.140623691228154
2020-07-11,30.2288970346069
2020-07-12,28.79129153831907
2020-07-13,27.273517170894607
2020-07-14,26.934814734778605
2020-07-15,25.9744164242139
2020-07-16,25.927019481430825
2020-07-17,26.48468850258824
2020-07-18,26.409200416364744
2020-07-19,26.474341887740184
2020-07-20,26.328642323190486
2020-07-21,27.136065929188206
2020-07-22,26.901259134896396
2020-07-23,27.09362397792785
2020-07-24,27.15258532462293
2020-07-25,27.11733543533796
2020-07-26,26.426701765950202
2020-07-27,26.09738694470746
2020-07-28,26.50009683651065
2020-07-29,26.201751979122175
2020-07-30,26.281897457890647
2020-07-31,26.666666543115316
2020-08-01,26.300615337090136
2020-08-02,25.967717665906196
2020-08-03,25.31344663173114
2020-08-04,25.360522208979734
2020-08-05,24.77053285560742
2020-08-06,24.504217369724465
2020-08-07,24.25467405996744
2020-08-08,23.41155086643357
2020-08-09,22.650124219622597
2020-08-10,22.143540496603062
2020-08-11,22.264334265686774
2020-08-12,21.643787319804634
2020-08-13,21.860483116140045
2020-08-14,22.331303977915017
2020-08-15,21.44153625580238
2020-08-16,21.035017271760424
2020-08-17,20.84775202444368
2020-08-18,21.07833448911999
2020-08-19,20.814050353838407
2020-08-20,21.289789083704942
2020-08-21,21.89527818187383
2020-08-22,21.276447869669227
2020-08-23,21.017806185576166
2020-08-24,20.69808230626845
2020-08-25,21.180997412625498
2020-08-26,20.486092412173473
2020-08-27,20.137979183162276
2020-08-28,20.14144270005154
2020-08-29,18.38913327905723
2020-08-30,17.992975682562076
2020-08-31,17.47507799729661
2020-09-01,18.072141916281627
2020-09-02,17.83444822333057
2020-09-03,17.987638078853333
2020-09-04,18.599345181942642
2020-09-05,17.34352679864805
2020-09-06,17.047128983256794
2020-09-07,16.33072373700815
2020-09-08,15.87300992663568
2020-09-09,14.52102131572143
2020-09-10,13.711207084647302
2020-09-11,13.498022715491832
2020-09-12,12.39738573956478
2020-09-13,12.112607440488379
2020-09-14,11.334872007358623
2020-09-15,11.876897063433306
2020-09-16,11.245188975553802
2020-09-17,11.210110027934624
2020-09-18,11.73181850423801
2020-09-19,11.024958875588249
2020-09-20,10.733303718767239
2020-09-21,10.068292253160998
2020-09-22,10.548106631882535
2020-09-23,10.18983237128303
2020-09-24,10.117202668716864
2020-09-25,10.367282369050765
2020-09-26,9.591232906849799
2020-09-27,9.437398475489736
2020-09-28,8.826721711667032
2020-09-29,9.251104757909683
2020-09-30,9.595064383484923
2020-10-01,9.4708235196455
2020-10-02,9.762236371406537
2020-10-03,9.78607676830969
2020-10-04,9.487578668296583
2020-10-05,9.033482722207175
2020-10-06,9.253030772737366
2020-10-07,9.355770015594649
2020-10-08,9.380138303125893
2020-10-09,9.67009584415983
2020-10-10,9.66575245800328
2020-10-11,9.548689364717301
2020-10-12,9.16459542183335
2020-10-13,9.252196989135735
2020-10-14,9.029470053315993
2020-10-15,8.58479073952165
2020-10-16,8.105200495720101
2020-10-17,7.271678124828271
2020-10-18,6.5746992048526485
2020-10-19,5.939080216945272
2020-10-20,5.849137453385836
2020-10-21,5.960299338760574
2020-10-22,5.869653520638516
2020-10-23,6.1984555064721105
2020-10-24,6.395180742302929
2020-10-25,6.5543232558909
2020-10-26,6.33050456115749
2020-10-27,6.657781885118329
2020-10-28,7.094762465039802
2020-10-29,7.163826101279206
2020-10-30,7.759468224770855
2020-10-31,8.073665661804823
2020-11-01,8.613103855047884
2020-11-02,8.629105875748474
2020-11-03,9.17112421269816
2020-11-04,9.992010507192944
2020-11-05,10.444835821682176
2020-11-06,10.675291428932058
2020-11-07,10.660222754944337
2020-11-08,10.454861656614806
2020-11-09,9.851988876631948
2020-11-10,9.318306566020295
2020-11-11,9.109622276677472
2020-11-12,8.808220915738076
2020-11-13,8.75733970625537
2020-11-14,8.376512981772713
2020-11-15,8.105189218894388
2020-11-16,7.66013051981231
2020-11-17,7.499906359526364
2020-11-18,7.604453073857592
2020-11-19,7.827545647188301
2020-11-20,8.297532394529348
2020-11-21,8.516423497399332
2020-11-22,8.841797571044559
2020-11-23,8.728582215514281
2020-11-24,8.974593255361814
2020-11-25,9.276410220694189
2020-11-26,9.32394008992873
2020-11-27,9.445530963109375
2020-11-28,9.47096778261602
2020-11-29,9.303261275065411
2020-11-30,9.084323517164272
2020-12-01,8.969571937857415
2020-12-02,9.247629890791906
2020-12-03,9.38591149039745
2020-12-04,9.701511399886718
2020-12-05,9.786583173555346
2020-12-06,9.815697953522719
2020-12-07,9.764216248109907
2020-12-08,9.929345898489961
2020-12-09,10.497669563070945
2020-12-10,10.624886434652849
2020-12-11,11.12882316790101
2020-12-12,11.094035742576628
2020-12-13,11.23744421865296
2020-12-14,11.224567673707618
2020-12-15,11.330252329439206
2020-12-16,12.055093521328228
2020-12-17,11.98777701843658
2020-12-18,12.593698148569818
2020-12-19,12.811911158976239
2020-12-20,12.801332728493556
2020-12-21,12.855529191275707
2020-12-22,13.15620459630865
2020-12-23,13.948775848558125
2020-12-24,13.845522583172686
2020-12-25,14.420445681203587
2020-12-26,14.447047761046106
2020-12-27,14.473019058238307
2020-12-28,14.266317527223569
2020-12-29,14.203830481055991
2020-12-30,14.81348278792834
2020-12-31,14.335831060472918
2021-01-01,14.543085372704411
2021-01-02,14.164790042136636
2021-01-03,13.822320302353825
2021-01-04,13.317058392763268
2021-01-05,12.997480933591062
2021-01-06,13.500566142307788
2021-01-07,13.137148155870495
2021-01-08,14.61783183804523
2021-01-09,15.21939548548861
2021-01-10,15.753152108829184
2021-01-11,16.251363706322966
2021-01-12,16.859332362800156
2021-01-13,17.26913786016003
2021-01-14,18.115615385768656
2021-01-15,18.539904153783635
2021-01-16,18.430547683700137
2021-01-17,19.145214371791006
2021-01-18,18.87323535375408
2021-01-19,18.818338224214187
2021-01-20,19.051797801906716
2021-01-21,19.265097050855523
2021-01-22,18.866484089764572
2021-01-23,19.05156872448343
2021-01-24,18.951945323192
2021-01-25,20.134449116944833
2021-01-26,20.47971812757676
2021-01-27,20.74053737491279
2021-01-28,21.52719657503615
2021-01-29,22.81634692622357
2021-01-30,22.828112571851076
2021-01-31,24.722961283466674
2021-02-01,26.346211131350312
2021-02-02,27.589424552574062
2021-02-03,28.97407287658238
2021-02-04,32.198472075793255
2021-02-05,35.278078657866025
2021-02-06,37.98189867793025
2021-02-07,39.21349032528033
2021-02-08,40.506696952471074
2021-02-09,41.81913960685007
2021-02-10,40.93346007255912
2021-02-11,41.6481019149421
2021-02-12,42.22378968110221
2021-02-13,41.80925460037065
2021-02-14,41.36645619083042
2021-02-15,41.82353377463698
2021-02-16,42.302768710570916
2021-02-17,40.614252328198376
2021-02-18,41.50781423057058
2021-02-19,42.14179605491806
2021-02-20,42.18133181679399
2021-02-21,41.97469242211252
2021-02-22,42.85367031285339
2021-02-23,43.77714278235716
2021-02-24,42.65480529404673
2021-02-25,43.060581486705324
2021-02-26,43.38341812297966
2021-02-27,42.99363976833413
2021-02-28,42.50131748857699
2021-03-01,42.87035202347577
2021-03-02,43.61206054752636
2021-03-03,42.55528507441886
2021-03-04,43.463965712878746
2021-03-05,44.47960801865554
2021-03-06,44.40088646562724
2021-03-07,44.71765939244214
2021-03-08,45.91177338435787
2021-03-09,47.593083680926995
2021-03-10,47.61486481030271
2021-03-11,49.49063752191982
2021-03-12,50.76574995397547
2021-03-13,51.72344079402793
2021-03-14,51.784790026897404
2021-03-15,52.680254172522396
2021-03-16,54.3205770872705
2021-03-17,54.37877381962714
2021-03-18,56.0759660011504
2021-03-19,56.60111376197983
2021-03-20,58.04707147575308
2021-03-21,58.231387169329544
2021-03-22,59.27109886871841
2021-03-23,61.187182685706645
2021-03-24,61.84260952924088
2021-03-25,63.553019867372996
2021-03-26,64.61616619627219
2021-03-27,66.45027593563819
2021-03-28,66.87371487936261
2021-03-29,68.3453482937888
2021-03-30,69.94405646681422
2021-03-31,69.93120983944948
2021-04-01,71.181113280027
2021-04-02,71.29255192407402
2021-04-03,72.84619838508559
2021-04-04,73.100222856673
2021-04-05,73.96334970491954
2021-04-06,75.40961266668778
2021-04-07,74.8597356131434
2021-04-08,75.00328338075842
2021-04-09,74.4967651421502
2021-04-10,74.61930651325548
2021-04-11,73.76764631185694
2021-04-12,73.5484099475311
2021-04-13,74.14621634573338
2021-04-14,72.88805269898529
2021-04-15,73.34171565475965
2021-04-16,72.92533113021217
2021-04-17,73.71507405514886
2021-04-18,73.14372003285946
2021-04-19,72.29038595487572
2021-04-20,71.16899324984917
2021-04-21,69.24410920076392
2021-04-22,68.32944098048601
2021-04-23,67.26364189434449
2021-04-24,66.91303439266676
2021-04-25,66.2698913082128
2021-04-26,65.4731040458669
2021-04-27,64.77273498536128
2021-04-28,63.136198564093014
2021-04-29,62.89282342485912
2021-04-30,61.902618942078114
2021-05-01,60.6275788462937
2021-05-02,59.341884392229545
2021-05-03,57.59816792541828
2021-05-04,56.34211218036714
2021-05-05,53.77833057081146
2021-05-06,53.65001869810461
2021-05-07,53.21562999608346
2021-05-08,52.001700425933805
2021-05-09,50.50280053322449
2021-05-10,49.213532856156014
2021-05-11,48.2335475781166
2021-05-12,46.205449178699766
2021-05-13,45.408383293290626
2021-05-14,44.5449284487015
2021-05-15,43.45668718787163
2021-05-16,42.30585583906534
2021-05-17,41.57218302758069
2021-05-18,41.54135822580283
2021-05-19,40.3836381155738
2021-05-20,40.096660075387156
2021-05-21,40.1081066791175
2021-05-22,39.88767184789764
2021-05-23,39.14889746575155
2021-05-24,39.0746343934975
2021-05-25,39.321616362758164
2021-05-26,38.39016697233949
2021-05-27,38.39005801348571
2021-05-28,38.243174622969256
2021-05-29,37.76265663446644
2021-05-30,36.59059061272935
2021-05-31,35.741885542895815
2021-06-01,35.82711982615361
2021-06-02,34.44439124967226
2021-06-03,33.6345982188023
2021-06-04,32.64294811139964
2021-06-05,31.657494228693043
2021-06-06,30.327673400725615
2021-06-07,29.31181488792607
2021-06-08,29.632351711809463
2021-06-09,28.832378351283516
2021-06-10,28.916140669233354
2021-06-11,29.16653025940366
2021-06-12,29.015069821954068
2021-06-13,28.651519540695016
2021-06-14,28.870313685800035
2021-06-15,29.74567675014594
2021-06-16,29.368643344423607
2021-06-17,29.706036602670206
2021-06-18,30.103315790171536
2021-06-19,30.028579789304846
2021-06-20,29.476326849956646
2021-06-21,29.960812284325403
2021-06-22,31.06666761672655
2021-06-23,30.799248686153504
2021-06-24,31.371680397685342
2021-06-25,31.59757298633461
2021-06-26,31.341197510035993
2021-06-27,30.497740501700946
2021-06-28,30.523502076298914
2021-06-29,30.903766047465446
2021-06-30,29.670209556513328
2021-07-01,29.097281293121153
2021-07-02,27.96608843787699
2021-07-03,26.52051274635326
2021-07-04,25.487873677651404
2021-07-05,25.110274929416992
2021-07-06,25.44866333432744
2021-07-07,24.644324881818857
2021-07-08,25.008760913831523
2021-07-09,25.052142150317664
2021-07-10,23.477279944749522
2021-07-11,22.945009785375387
2021-07-12,22.43297583222742
2021-07-13,21.888023903956398
2021-07-14,20.77843480548619
2021-07-15,20.43387888424846
2021-07-16,20.4435699234415
2021-07-17,19.082102409698933
2021-07-18,18.503919947830703
2021-07-19,18.187103120940794
2021-07-20,17.57466039612326
2021-07-21,16.515735386655216
2021-07-22,16.24988166681561
2021-07-23,16.02209992749076
2021-07-24,14.335224463326304
2021-07-25,14.145036308212195
2021-07-26,13.625395316248056
2021-07-27,13.3443104903177
2021-07-28,13.466283981381352
2021-07-29,13.45231369834702
2021-07-30,13.595588463091511
2021-07-31,13.073967196901012
2021-08-01,12.982304119703072
2021-08-02,12.809901985753266
2021-08-03,12.536756895424315
2021-08-04,12.593374166604146
2021-08-05,12.432298093598986
2021-08-06,12.10900113602159
2021-08-07,11.921067078215858
2021-08-08,11.792011075077166
2021-08-09,11.561182706973442
