data,Obitos_Publicacao_MM_atual_PA
2020-04-11,2.204154911735775
2020-04-12,2.4729061173501976
2020-04-13,3.6100466664137203
2020-04-14,4.300460858943456
2020-04-15,3.288484150232244
2020-04-16,3.9599302302561625
2020-04-17,4.5610083391753555
2020-04-18,5.464337818819773
2020-04-19,5.900847448740584
2020-04-20,7.149452079155132
2020-04-21,8.666389138487766
2020-04-22,8.898142064821416
2020-04-23,9.434596562521854
2020-04-24,10.348150105701631
2020-04-25,11.716170385732983
2020-04-26,12.841170331590064
2020-04-27,14.654952977913709
2020-04-28,15.9812622981306
2020-04-29,17.235510814091814
2020-04-30,18.15733809317449
2020-05-01,19.57961973525548
2020-05-02,21.65164217306819
2020-05-03,24.091797937514368
2020-05-04,26.688456456583385
2020-05-05,28.573301633761663
2020-05-06,30.272562209999702
2020-05-07,32.47515361779571
2020-05-08,35.49720860511924
2020-05-09,38.588000857950036
2020-05-10,41.85013749228139
2020-05-11,46.34854765892219
2020-05-12,49.27127905421542
2020-05-13,52.24219292346573
2020-05-14,55.515459755443786
2020-05-15,59.66413776970373
2020-05-16,63.54942038022409
2020-05-17,66.58420901741914
2020-05-18,70.64594586913293
2020-05-19,72.38951170532329
2020-05-20,76.00996727992903
2020-05-21,80.56600182894556
2020-05-22,84.77043171750206
2020-05-23,88.42618383356258
2020-05-24,91.78065166473944
2020-05-25,94.48296689556733
2020-05-26,95.6248532910648
2020-05-27,96.29964287546467
2020-05-28,96.7943187087037
2020-05-29,97.7579620867703
2020-05-30,96.7927538159251
2020-05-31,95.10769019459778
2020-06-01,93.31529030413469
2020-06-02,89.9488219697286
2020-06-03,87.65069968997017
2020-06-04,85.87400724084254
2020-06-05,85.11805415641064
2020-06-06,84.13037106322037
2020-06-07,82.0500401350028
2020-06-08,81.4750653955667
2020-06-09,81.04878217506612
2020-06-10,79.81253988763176
2020-06-11,77.06594989151544
2020-06-12,75.39435792216328
2020-06-13,72.83647129668844
2020-06-14,70.34441730084876
2020-06-15,67.90278791323985
2020-06-16,65.8550972792765
2020-06-17,63.31270285859852
2020-06-18,59.2188543536657
2020-06-19,57.071048172747915
2020-06-20,55.014143431549726
2020-06-21,52.54874658941907
2020-06-22,52.105174073467616
2020-06-23,51.96349813221824
2020-06-24,50.12045991300592
2020-06-25,47.60874268080717
2020-06-26,45.5536159187883
2020-06-27,43.70572358191022
2020-06-28,41.66985136279434
2020-06-29,39.96504014888568
2020-06-30,39.2080528791788
2020-07-01,38.04207882555326
2020-07-02,36.91933216145228
2020-07-03,36.65431267674424
2020-07-04,36.52425086042562
2020-07-05,36.12820192411097
2020-07-06,35.87208529522017
2020-07-07,35.867747629269275
2020-07-08,34.846456622969214
2020-07-09,33.55313184844817
2020-07-10,32.30892792662276
2020-07-11,31.51620415598665
2020-07-12,30.31034715833711
2020-07-13,29.080708513665112
2020-07-14,28.478883996226692
2020-07-15,27.48097490099705
2020-07-16,26.558677866923798
2020-07-17,26.69998238058044
2020-07-18,26.68864183036889
2020-07-19,26.86871174735727
2020-07-20,26.91545063872646
2020-07-21,27.39092453561383
2020-07-22,27.343781400868256
2020-07-23,26.778692922985805
2020-07-24,26.98368544498541
2020-07-25,26.86256894019984
2020-07-26,26.65794445978491
2020-07-27,26.46482903819388
2020-07-28,26.505201728240845
2020-07-29,25.987841978942885
2020-07-30,25.027351532857658
2020-07-31,25.06021888020073
2020-08-01,24.610034315471637
2020-08-02,24.401742343283313
2020-08-03,23.51205621179621
2020-08-04,23.052978543663286
2020-08-05,22.022554498583784
2020-08-06,20.82658384548181
2020-08-07,20.53866176455871
2020-08-08,19.835977113219155
2020-08-09,19.74038725158863
2020-08-10,19.124958124380242
2020-08-11,18.27387324956168
2020-08-12,17.26780197077966
2020-08-13,16.67467114501519
2020-08-14,16.846975627624275
2020-08-15,16.71260444179559
2020-08-16,17.0526533563429
2020-08-17,16.760390651339232
2020-08-18,16.235553799957025
2020-08-19,15.843068296466454
2020-08-20,15.600611309199813
2020-08-21,15.712352095397264
2020-08-22,15.475005069329466
2020-08-23,15.534936590691522
2020-08-24,15.5480492262783
2020-08-25,15.36731093808483
2020-08-26,15.14088522209092
2020-08-27,14.662628612626769
2020-08-28,14.834373051849784
2020-08-29,14.400031110296387
2020-08-30,14.139932898604409
2020-08-31,13.907307736416392
2020-09-01,13.640635082848064
2020-09-02,13.475643335132803
2020-09-03,13.025289599423946
