data,Obitos_DataOcorrencia_MM_atual_PA
2020-04-11,12.816620519280871
2020-04-12,14.602623697951602
2020-04-13,18.227448051031416
2020-04-14,18.608190897304993
2020-04-15,15.68945451948778
2020-04-16,19.157082331402258
2020-04-17,21.5994712278705
2020-04-18,27.327974384406524
2020-04-19,29.233336608920258
2020-04-20,33.73769798035301
2020-04-21,35.42432733289124
2020-04-22,37.22358401277559
2020-04-23,41.168842139017215
2020-04-24,44.26082645376269
2020-04-25,48.80397993923137
2020-04-26,51.728035404196106
2020-04-27,56.35318880435469
2020-04-28,59.00961199833068
2020-04-29,62.850050598446074
2020-04-30,65.96402507510969
2020-05-01,68.71641665305167
2020-05-02,73.15701801748452
2020-05-03,76.29656474755903
2020-05-04,80.24531948603907
2020-05-05,82.56771172862238
2020-05-06,84.56023183665586
2020-05-07,85.78116368859929
2020-05-08,86.69791042076702
2020-05-09,87.74452898123234
2020-05-10,88.59304054158389
2020-05-11,88.95203288237529
2020-05-12,89.69269094791146
2020-05-13,89.79079499135268
2020-05-14,89.32099078718656
2020-05-15,88.93150480937922
2020-05-16,88.20834606063976
2020-05-17,87.75861136884734
2020-05-18,87.66000957782519
2020-05-19,87.97859739105495
2020-05-20,87.11016425646464
2020-05-21,84.42365471923469
2020-05-22,82.8373218736158
2020-05-23,81.3603919820594
2020-05-24,78.83768683832788
2020-05-25,76.99896292090425
2020-05-26,75.55860447421861
2020-05-27,74.20419602567316
2020-05-28,72.15021502231889
2020-05-29,70.66192367936925
2020-05-30,69.34419911018755
2020-05-31,67.7444143982178
2020-06-01,65.9247555587509
2020-06-02,64.42953423811339
2020-06-03,62.887161914473566
2020-06-04,60.928674428532
2020-06-05,59.81969937738993
2020-06-06,58.84863532673101
2020-06-07,57.95005435931268
2020-06-08,57.71599317045673
2020-06-09,57.41779924759942
2020-06-10,56.40559596402984
2020-06-11,55.03020950984234
2020-06-12,54.97271056802624
2020-06-13,53.79836920829074
2020-06-14,52.08881320480135
2020-06-15,50.33115864335991
2020-06-16,48.60668304386235
2020-06-17,47.30877424886954
2020-06-18,44.8592680889094
2020-06-19,43.75225164749759
2020-06-20,42.71150710787062
2020-06-21,41.21913553407598
2020-06-22,41.579949896523544
2020-06-23,41.906887429799724
2020-06-24,41.23009362445904
2020-06-25,39.81577164489936
2020-06-26,38.6748382742518
2020-06-27,37.348170484204395
2020-06-28,35.6482788618869
2020-06-29,33.799827487469656
2020-06-30,32.90465711143035
2020-07-01,32.167893774171354
2020-07-02,31.65915161026184
2020-07-03,31.525966671333798
2020-07-04,31.451712678868333
2020-07-05,31.28588638603571
2020-07-06,30.840641846586347
2020-07-07,30.66767008615902
2020-07-08,30.37805222882425
2020-07-09,29.476643115127136
2020-07-10,29.222196685829697
2020-07-11,28.869788642980073
2020-07-12,28.23918186364574
2020-07-13,27.20689409530397
2020-07-14,27.0616495683895
2020-07-15,26.48421462545978
2020-07-16,25.58657963511623
2020-07-17,25.90867405726028
2020-07-18,26.32276209356722
2020-07-19,26.69270085772261
2020-07-20,26.756564684390238
2020-07-21,27.37374929077772
2020-07-22,27.679003838095003
2020-07-23,27.538737188064072
2020-07-24,27.450858272367135
2020-07-25,27.309382922805124
2020-07-26,26.95807365298958
2020-07-27,26.238928302067578
2020-07-28,26.114522172594075
2020-07-29,25.48580779848416
2020-07-30,24.500579677289913
2020-07-31,24.374376522758222
2020-08-01,23.842352535562792
2020-08-02,23.593780331193074
2020-08-03,22.61435342929912
2020-08-04,21.9939551047933
2020-08-05,21.427472620627476
2020-08-06,20.41298874779221
2020-08-07,20.255866699165487
2020-08-08,19.960062785861442
2020-08-09,20.092284347276035
2020-08-10,19.507974011321906
2020-08-11,19.021549941010736
2020-08-12,18.378575811816088
2020-08-13,17.55350436429865
2020-08-14,17.513042340423358
2020-08-15,17.28508403383803
2020-08-16,17.39804534538617
2020-08-17,16.793571556077868
2020-08-18,16.28881994120599
2020-08-19,15.84832047481679
2020-08-20,15.624999945844822
2020-08-21,15.701960390350385
2020-08-22,15.574339912451826
2020-08-23,15.875957864645386
2020-08-24,15.469109444396095
2020-08-25,15.140276790787178
2020-08-26,14.726344303346936
2020-08-27,13.960506823618642
2020-08-28,13.800612980660642
2020-08-29,13.359919497459723
2020-08-30,13.317944703398304
2020-08-31,12.917975632015613
2020-09-01,12.94096030914105
2020-09-02,12.854794175473877
2020-09-03,12.445951260031844
2020-09-04,12.773690432640663
2020-09-05,12.892908455369655
2020-09-06,13.10985565732139
2020-09-07,13.054452953721682
2020-09-08,12.693823077179538
2020-09-09,12.19595258657275
2020-09-10,11.511288865613173
2020-09-11,11.244229920523866
2020-09-12,10.944906038560877
2020-09-13,10.770684337573268
2020-09-14,10.686976751286132
2020-09-15,10.865278429931493
2020-09-16,10.646838038444626
2020-09-17,10.051497962538248
2020-09-18,10.02055986027547
2020-09-19,9.968951174398713
2020-09-20,9.925393240232058
2020-09-21,9.7772322377642
2020-09-22,9.80127779665071
2020-09-23,9.329574362885928
2020-09-24,8.723450159309897
2020-09-25,8.478377766417971
2020-09-26,8.100991917181535
2020-09-27,7.900842008291455
2020-09-28,7.90036369639599
2020-09-29,8.267208858956089
2020-09-30,8.040969406144468
2020-10-01,7.648774943412005
2020-10-02,7.700794962163818
2020-10-03,7.4811421317135265
2020-10-04,7.336099289121236
2020-10-05,7.387322173718753
2020-10-06,7.522158125128858
2020-10-07,6.992758786711459
2020-10-08,6.515850621673362
2020-10-09,6.544911090001852
2020-10-10,6.621467538322183
2020-10-11,6.721793565125207
2020-10-12,6.83821269757715
2020-10-13,7.1962225479164355
2020-10-14,6.83780623417697
2020-10-15,6.423652438450842
2020-10-16,6.286579521552903
2020-10-17,5.942724600942024
2020-10-18,5.727396707044885
2020-10-19,5.644949027837749
2020-10-20,5.98174846610295
2020-10-21,5.629922991465587
2020-10-22,5.410078537470862
2020-10-23,5.851442567351675
2020-10-24,5.882306058825858
2020-10-25,6.0904751640105355
2020-10-26,6.327610817707634
2020-10-27,6.855460203059753
2020-10-28,6.375286567959532
2020-10-29,6.181279459471895
2020-10-30,6.388787905959823
2020-10-31,6.232911346084522
2020-11-01,6.400633494097138
2020-11-02,6.4622688259192875
2020-11-03,7.003428592304236
2020-11-04,6.885071997229225
2020-11-05,6.871894667473324
2020-11-06,7.071208355348078
2020-11-07,7.014880473908881
2020-11-08,7.070866387800823
2020-11-09,6.976431521439651
2020-11-10,7.421275525238294
2020-11-11,7.080058647801003
2020-11-12,6.829957710026564
2020-11-13,7.030143108846884
2020-11-14,6.80474350865545
2020-11-15,6.8483257164210745
2020-11-16,6.9465568206341555
2020-11-17,7.4053274261312625
2020-11-18,7.163921253101826
2020-11-19,7.089445020776788
2020-11-20,7.395708276031529
2020-11-21,7.366883721420489
2020-11-22,7.754570110386653
2020-11-23,7.981116784009461
2020-11-24,8.487353537301068
2020-11-25,8.102562611901924
2020-11-26,7.955805291790305
2020-11-27,8.071281146832584
2020-11-28,7.8172357681443
2020-11-29,7.943039734650453
2020-11-30,7.9027498321188565
2020-12-01,8.2132772055644
2020-12-02,7.918392925418824
2020-12-03,7.8015114595471635
2020-12-04,8.046279123978719
2020-12-05,7.995155684590557
2020-12-06,8.417972223041286
2020-12-07,8.690801944136204
2020-12-08,9.312083798219149
2020-12-09,9.211519501413088
2020-12-10,9.347188215768043
2020-12-11,9.79859351342535
2020-12-12,9.864467050301643
2020-12-13,10.353458486297034
2020-12-14,10.486842641998587
2020-12-15,10.906448846789997
2020-12-16,10.644171577848832
2020-12-17,10.576874983726034
2020-12-18,10.824077400717822
2020-12-19,10.853583786509526
2020-12-20,11.176341070986231
2020-12-21,11.382292184734688
2020-12-22,11.872803940768891
2020-12-23,11.869876529536588
2020-12-24,11.854122273339122
2020-12-25,12.07899361080129
2020-12-26,11.977678573828362
2020-12-27,12.20733923485101
2020-12-28,12.149314960646421
2020-12-29,12.515098894676338
2020-12-30,12.30011638312667
2020-12-31,12.064563604067898
2021-01-01,12.176613452341986
2021-01-02,12.080571587285599
2021-01-03,12.273966466703126
2021-01-04,12.295015542381526
2021-01-05,12.650952972871641
2021-01-06,12.32742260593321
2021-01-07,12.330545087280484
2021-01-08,13.725844152161052
2021-01-09,14.980541517341118
2021-01-10,15.956790597452684
2021-01-11,16.29905160567555
2021-01-12,17.214155954559516
2021-01-13,17.850435174167227
2021-01-14,18.376300170171604
2021-01-15,19.48461265092326
2021-01-16,20.676412894697936
2021-01-17,22.20137229333741
2021-01-18,23.843037946889144
2021-01-19,25.819343742662678
2021-01-20,25.99722202760987
2021-01-21,27.67825604485494
2021-01-22,27.871961098701206
2021-01-23,29.441157534942956
2021-01-24,30.0663096027264
2021-01-25,31.43206846784134
2021-01-26,31.64132181628124
2021-01-27,32.66255596080059
2021-01-28,33.14563125261352
2021-01-29,33.030171696377046
2021-01-30,33.713968879543394
2021-01-31,33.4722772112367
2021-02-01,34.86454151986289
2021-02-02,35.86940560702464
2021-02-03,36.4276188373302
2021-02-04,35.15731657688216
2021-02-05,37.55458876724962
2021-02-06,38.637414291786534
2021-02-07,39.63666869433076
2021-02-08,41.66239127277099
2021-02-09,43.625425851429355
2021-02-10,44.982286356179316
2021-02-11,44.244477566248534
2021-02-12,44.82329595632698
2021-02-13,45.15078535943533
2021-02-14,44.65724743335332
2021-02-15,44.875833728470504
2021-02-16,44.317681529135264
2021-02-17,44.20353238988654
2021-02-18,42.73586462106429
2021-02-19,42.757825421058605
2021-02-20,43.26776425114942
2021-02-21,42.845738601661374
2021-02-22,43.56779206025709
2021-02-23,43.818570777159174
2021-02-24,44.39927302850961
2021-02-25,43.75635323411505
2021-02-26,43.96183270270328
2021-02-27,44.08386729502076
2021-02-28,43.50329473020438
2021-03-01,43.69005820015782
2021-03-02,44.06081873095341
2021-03-03,44.663672279542276
2021-03-04,43.96731553784328
2021-03-05,43.61364404337702
2021-03-06,44.01216903184597
2021-03-07,44.086422776437885
2021-03-08,45.336877215563234
2021-03-09,47.96687799739875
2021-03-10,51.51528796197447
2021-03-11,53.614572584513496
2021-03-12,56.64921762873431
2021-03-13,60.103285198154104
2021-03-14,62.43114194177659
2021-03-15,64.89457471889669
2021-03-16,67.53061216142
2021-03-17,70.73099232141914
2021-03-18,71.92207899589866
2021-03-19,73.41270539262399
2021-03-20,75.1831442137718
2021-03-21,76.39623780519577
2021-03-22,78.25854720008077
2021-03-23,80.55139323664791
2021-03-24,82.98930485191198
2021-03-25,84.33041471477345
2021-03-26,85.43748026470244
2021-03-27,86.66482928401703
2021-03-28,87.44330293689383
2021-03-29,88.94653612599922
2021-03-30,90.44005169186764
2021-03-31,91.91226626819434
2021-04-01,92.11721806169064
2021-04-02,93.23711678170505
2021-04-03,93.55160338030205
2021-04-04,93.45210128434066
2021-04-05,92.88751133680111
2021-04-06,92.79520103013121
2021-04-07,92.26429350233892
2021-04-08,90.64338357873261
2021-04-09,90.51173483774565
2021-04-10,89.95485135055318
2021-04-11,89.32841203685909
2021-04-12,88.65613567048769
2021-04-13,87.76216660643992
2021-04-14,86.87213818646043
2021-04-15,84.9999291647339
2021-04-16,83.29759753721922
2021-04-17,80.7893799101079
2021-04-18,77.49509672818749
2021-04-19,73.91603391589634
2021-04-20,71.47285331668819
2021-04-21,68.62446049443932
2021-04-22,64.79400920475783
2021-04-23,62.38161382634759
2021-04-24,59.41065204336981
2021-04-25,55.53017655357392
2021-04-26,52.88378423376767
2021-04-27,51.631244214382086
2021-04-28,49.6359033251811
2021-04-29,47.28853265958559
2021-04-30,45.0944709246044
2021-05-01,43.06815111042922
2021-05-02,40.821076586421974
2021-05-03,39.57072364981831
2021-05-04,38.35442543215119
2021-05-05,37.70227394116433
2021-05-06,35.83786720414552
2021-05-07,35.008666576260566
2021-05-08,34.29677529896364
2021-05-09,32.93792198776561
2021-05-10,32.31609878387418
2021-05-11,32.082247482709654
2021-05-12,31.79709475186284
2021-05-13,30.612784485189938
2021-05-14,29.936122945078075
2021-05-15,29.396616637424223
2021-05-16,28.583306059594012
2021-05-17,27.83801342431856
2021-05-18,27.822811575607886
2021-05-19,27.926605733722997
2021-05-20,27.393009482194675
2021-05-21,27.242014518865673
2021-05-22,27.320961631261603
2021-05-23,27.113617224952048
2021-05-24,26.497322741074164
2021-05-25,26.33796040553655
2021-05-26,26.528433831414883
2021-05-27,26.109716092892153
2021-05-28,26.39915143832545
2021-05-29,26.59067842339705
2021-05-30,26.698349642635435
2021-05-31,26.05111327720861
2021-06-01,26.387419102899997
2021-06-02,26.90211332953863
2021-06-03,25.65476832790174
2021-06-04,25.74774014624407
2021-06-05,25.152681491197917
2021-06-06,25.098188626821475
2021-06-07,24.454166553525162
2021-06-08,24.784398390322785
2021-06-09,24.83563077853449
2021-06-10,23.873142256269848
2021-06-11,24.26269690384289
2021-06-12,24.647503233955312
2021-06-13,24.664689753025932
2021-06-14,24.196828204383635
2021-06-15,24.206449772523612
2021-06-16,24.07560247838567
2021-06-17,22.6257367345606
2021-06-18,21.898588431410392
2021-06-19,21.122508378310435
2021-06-20,20.923309206951732
2021-06-21,19.9274116379134
2021-06-22,19.417529926492
2021-06-23,19.052776682308817
2021-06-24,17.781453940011264
2021-06-25,17.521395801455483
2021-06-26,17.109756417385775
2021-06-27,16.966389048062823
2021-06-28,15.93757342882331
2021-06-29,15.262597297192826
2021-06-30,14.818804918466995
2021-07-01,14.066467814233283
2021-07-02,13.863275121161825
2021-07-03,13.532658440107664
2021-07-04,13.697720236490802
2021-07-05,13.359330123314974
2021-07-06,13.223874866278292
2021-07-07,13.56749235897034
2021-07-08,13.174370746644957
2021-07-09,13.230438945353274
2021-07-10,13.079176855723091
2021-07-11,13.25683608146386
2021-07-12,12.641538978579797
2021-07-13,12.089219986242624
2021-07-14,12.039500078827329
2021-07-15,11.31233304435427
2021-07-16,11.090798508763028
2021-07-17,10.796796452811598
2021-07-18,10.735840158411902
2021-07-19,10.416342566550181
2021-07-20,10.405529703204481
2021-07-21,10.760111095447638
2021-07-22,10.079404928631172
2021-07-23,9.978865921044337
2021-07-24,9.833453799760852
2021-07-25,9.738982442053581
2021-07-26,9.413560887016132
2021-07-27,9.330870393128745
2021-07-28,9.463270984168988
2021-07-29,8.739058511273942
2021-07-30,8.649258331331701
2021-07-31,8.701181696375182
2021-08-01,8.51671710302742
2021-08-02,8.287642494220643
2021-08-03,8.150131482788144
2021-08-04,8.292811061810351
2021-08-05,7.721236081340344
2021-08-06,7.572637968998827
2021-08-07,7.5362269238794815
2021-08-08,7.290316024522241
2021-08-09,7.168920263996158
2021-08-10,6.968130947412528
2021-08-11,7.037346249917545
2021-08-12,6.495713178084126
2021-08-13,6.407623035022569
2021-08-14,6.437591268429575
2021-08-15,6.2506558080100145
2021-08-16,6.291005092402005
2021-08-17,6.2570915609671145
2021-08-18,6.447800552800256
2021-08-19,5.980065875668187
2021-08-20,5.890876040239369
2021-08-21,5.889297898906617
2021-08-22,5.818509033850407
2021-08-23,5.865131814489962
2021-08-24,5.788859655285652
2021-08-25,5.8913973606348335
2021-08-26,5.487711975719462
2021-08-27,5.465773670198467
2021-08-28,5.392442508047359
2021-08-29,5.262901080403579
2021-08-30,5.2530310815694286
2021-08-31,5.098060586777698
2021-09-01,5.186827032079426
2021-09-02,4.799796577346754
2021-09-03,4.772461067967629
2021-09-04,4.696604399377703
2021-09-05,4.56026072118797
2021-09-06,4.691469418050794
2021-09-07,4.625270660847192
2021-09-08,4.579948473265121
2021-09-09,4.209479471124899
2021-09-10,4.142728439172125
2021-09-11,4.1187965276784855
2021-09-12,3.977556061039972
2021-09-13,4.0847411824181314
2021-09-14,4.12914144077122
2021-09-15,4.184696327650537
2021-09-16,4.032954718831948
2021-09-17,3.989268522880561
2021-09-18,4.008563567562566
2021-09-19,3.9418848283251955
2021-09-20,4.081789204511805
2021-09-21,4.170251257856363
2021-09-22,4.1364632455780175
2021-09-23,4.027578913283412
2021-09-24,3.92178526543829
2021-09-25,3.8817701708112677
2021-09-26,3.7817001408579953
2021-09-27,3.891179029933179
2021-09-28,3.8490214021389444
2021-09-29,3.7889830540045275
2021-09-30,3.7565022644834163
2021-10-01,3.6673484161444687
2021-10-02,3.566535827717397
2021-10-03,3.460269725939852
2021-10-04,3.564429898394318
2021-10-05,3.663605914786775
2021-10-06,3.668411662244462
2021-10-07,3.704511534580799
2021-10-08,3.787364794925984
2021-10-09,3.7582816437043745
2021-10-10,3.68109446835721
2021-10-11,3.9886828650541073
2021-10-12,4.245423915133937
2021-10-13,4.198470734948671
2021-10-14,4.193473668793815
2021-10-15,4.3063808923634825
2021-10-16,4.2496918481789185
2021-10-17,4.0674195414874115
2021-10-18,4.3413673958953325
2021-10-19,4.532215680108148
2021-10-20,4.362526842096006
2021-10-21,4.368472425395467
2021-10-22,4.490027326035179
2021-10-23,4.524452730704125
2021-10-24,4.339162668038223
2021-10-25,4.680443890767688
2021-10-26,4.936392495765892
2021-10-27,4.706063167835742
2021-10-28,4.64969253007754
2021-10-29,4.817188519536244
2021-10-30,4.773735542776571
2021-10-31,4.581060187573414
2021-11-01,4.927858520456372
2021-11-02,5.3117646030722705
2021-11-03,5.127848927543347
2021-11-04,5.169380792538258
2021-11-05,5.479484118785051
2021-11-06,5.46664449870006
2021-11-07,5.256519128613465
2021-11-08,5.51852214878114
2021-11-09,5.8587606309680185
2021-11-10,5.5218932910260285
2021-11-11,5.492403844981301
2021-11-12,5.723503078474567
2021-11-13,5.812527123153149
2021-11-14,5.674791628074599
2021-11-15,6.197299107427536
2021-11-16,6.735324757862727
2021-11-17,6.476408283998463
2021-11-18,6.542919402147067
2021-11-19,6.701367573511332
2021-11-20,6.656667542785833
2021-11-21,6.4934152976108015
2021-11-22,6.933954515141248
2021-11-23,7.4247869517398515
2021-11-24,7.2707289955316705
2021-11-25,7.376328057713825
2021-11-26,7.622884049583543
2021-11-27,7.633417259454326
2021-11-28,7.589901878625479
2021-11-29,7.985635078174579
2021-11-30,8.372290624608828
2021-12-01,8.140049784834067
2021-12-02,8.265336984590204
2021-12-03,8.345344682692359
2021-12-04,8.297930984575574
2021-12-05,8.326184154792456
2021-12-06,8.57553997417432
2021-12-07,9.04172767722612
2021-12-08,8.768299035335302
2021-12-09,8.653544735718215
2021-12-10,8.714663905406736
2021-12-11,8.615136939676338
2021-12-12,8.644790114732233
2021-12-13,8.709354812322253
2021-12-14,9.132009157784807
2021-12-15,9.027301829373208
2021-12-16,8.869228476722133
2021-12-17,8.913474984518826
2021-12-18,8.746486727519976
2021-12-19,8.799531144775047
