data,Obitos_Publicacao_MM_atual_PA
2020-04-11,2.510469355400859
2020-04-12,3.182149363712432
2020-04-13,3.1523451196878094
2020-04-14,3.566301857311653
2020-04-15,3.060603756133632
2020-04-16,2.3810119007710155
2020-04-17,3.3142639994004823
2020-04-18,4.561220517923821
2020-04-19,5.777464013764581
2020-04-20,6.111744271883006
2020-04-21,6.680279802723455
2020-04-22,6.566794570481117
2020-04-23,8.261573029119036
2020-04-24,9.13737895666436
2020-04-25,10.335092259933713
2020-04-26,11.536512294056173
2020-04-27,12.15007061413394
2020-04-28,14.121675771275841
2020-04-29,14.914602327955912
2020-04-30,17.396861156710415
2020-05-01,17.36504400671256
2020-05-02,19.32681455606745
2020-05-03,20.583169370006573
2020-05-04,24.122830194051996
2020-05-05,25.256351913774058
2020-05-06,26.460363386770943
2020-05-07,28.729670978991667
2020-05-08,29.393311753312403
2020-05-09,32.142934048429915
2020-05-10,35.67639211946126
2020-05-11,39.95767317441803
2020-05-12,42.323500815252274
2020-05-13,47.8638470356319
2020-05-14,51.45575328396925
2020-05-15,53.71512459882781
2020-05-16,56.39440958295427
2020-05-17,61.36520993662384
2020-05-18,65.26502149558755
2020-05-19,67.31273760817383
2020-05-20,72.38328175952654
2020-05-21,76.50287206475484
2020-05-22,78.7060401194612
2020-05-23,80.23891121448628
2020-05-24,83.1903719074202
2020-05-25,84.22521853398047
2020-05-26,85.27616182227533
2020-05-27,87.92531768264851
2020-05-28,86.31099505040984
2020-05-29,85.8952396837535
2020-05-30,82.52221375871149
2020-05-31,80.53448927372176
2020-06-01,77.60348324176572
2020-06-02,75.11060064018706
2020-06-03,72.86381069881449
2020-06-04,70.70870966470382
2020-06-05,70.51215209358331
2020-06-06,68.9124093811609
2020-06-07,69.52342596620824
2020-06-08,69.1788462638634
2020-06-09,68.36136380704828
2020-06-10,68.18507907864436
2020-06-11,66.71200188465265
2020-06-12,64.4211526654604
2020-06-13,62.02629001536331
2020-06-14,59.765234436396916
2020-06-15,56.814855407073665
2020-06-16,55.26337050425686
2020-06-17,53.08847025835462
2020-06-18,52.24793364984058
2020-06-19,51.41105749560907
2020-06-20,50.940396766903824
2020-06-21,51.03803286337588
2020-06-22,48.772342936952654
2020-06-23,48.4514239659601
2020-06-24,45.82213217222664
2020-06-25,44.05185367812111
2020-06-26,41.7691156440311
2020-06-27,39.23066569817807
2020-06-28,40.22786831536706
2020-06-29,38.555048887360954
2020-06-30,38.11810242114628
2020-07-01,37.248910497338805
2020-07-02,38.150712520581145
2020-07-03,39.07591869490303
2020-07-04,39.05817959697912
2020-07-05,39.843282485166995
2020-07-06,39.16882260562641
2020-07-07,38.13839053890078
2020-07-08,35.756543710186854
2020-07-09,34.94658792727315
2020-07-10,34.262545431225696
2020-07-11,32.13413146319617
2020-07-12,32.11303278653042
2020-07-13,30.734442000241412
2020-07-14,30.80804648570641
2020-07-15,29.585016984841676
2020-07-16,29.779964974308964
2020-07-17,29.745759406631073
2020-07-18,29.513912380344046
2020-07-19,30.819046673563175
2020-07-20,30.235119121755076
2020-07-21,30.616837696336386
2020-07-22,30.180893589988404
2020-07-23,30.16048609678587
2020-07-24,29.79876545286642
2020-07-25,28.20556107973284
2020-07-26,28.315262024863323
2020-07-27,27.34788241872746
2020-07-28,27.5135548240655
2020-07-29,27.22419868307342
2020-07-30,27.13029822654402
2020-07-31,26.85308899461857
2020-08-01,26.037062517454494
2020-08-02,25.819805216453652
2020-08-03,24.597235309077327
2020-08-04,25.141610293893905
2020-08-05,23.94704571996607
2020-08-06,23.47705455980372
2020-08-07,22.754910355956323
2020-08-08,22.036672799343552
2020-08-09,21.92163424194661
2020-08-10,21.071141291589516
2020-08-11,21.44412190512987
2020-08-12,21.153205159492902
2020-08-13,20.53438918394755
2020-08-14,21.104475829795778
2020-08-15,21.23131281032342
2020-08-16,21.756740440780252
2020-08-17,21.42837354244825
2020-08-18,21.732912409837645
2020-08-19,21.824998417390542
2020-08-20,21.382839916004645
2020-08-21,21.700675019745002
2020-08-22,20.821889179603545
2020-08-23,21.279146996802456
2020-08-24,20.56225146745125
2020-08-25,20.944186902835387
2020-08-26,20.337932735779592
2020-08-27,20.298516057276068
2020-08-28,20.630791100140957
2020-08-29,19.9486220724305
2020-08-30,20.268924745000795
2020-08-31,20.245721037070293
2020-09-01,20.564531106304436
2020-09-02,20.22625411788722
